Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Экономист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Кызыл Калкан""",Вакансия опубликована 13.01.2023,Адреса нет,полный день,Проектная работа,Бюджетное планирование;,https://enbek.kz/ru/vacancy/ekonomist~2833296,Молодежная практика,Финансы
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Кызыл Калкан""",Вакансия опубликована 13.01.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/ofis-menedzher~2833302,Первое рабочее место,Менеджмент
Архитектор,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Luxe House Astana""",Вакансия опубликована 13.01.2023,Адреса нет,полный день,Проектная работа,Обеспечение корректности и оптимальности архитектуры проекта;,https://enbek.kz/ru/vacancy/arkhitektor~2833960,Молодежная практика,Строительство и архитектура
Web-разработчик,IT и телекоммуникации,от 103 500 тенге,"Филиал республиканского государственного учреждения ""Администратор судов по Карагандинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)"" - канцелярия Темиртауского городского суда Карагандинской области",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Разработка мобильных приложений;,https://enbek.kz/ru/vacancy/web-razrabotchik~2843345,Молодежная практика,IT
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Общественное объединение родителей детей инвалидов ""Жаңа күн""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2843314,Молодежная практика,Медицина
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Қала көлік""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Работа с претензиями;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2829421,Молодежная практика,Юриспруденция
Электрогазосварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью """" Многопрофильный центр - Строй KZ""""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Электросварка на автоматических и полуавтоматических машинах;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~2830600,Первое рабочее место,Сервисное обслуживание/производство
Автослесарь,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью """" Многопрофильный центр - Строй KZ""""",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Ремонт и замена частей автомобиля;,https://enbek.kz/ru/vacancy/avtoslesar~2830641,Молодежная практика,Сервисное обслуживание/производство
Рабочий по обслуживанию офисной техники,IT и телекоммуникации,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Историко-культурный центр первого Президента"" управления культуры, архивов и документации Карагандинской области",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,ТО компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/rabochii-po-obsluzhivaniyu-ofisnoi-tekhniki~2831710,Молодежная практика,IT
Экскурсовод,Культура и спорт,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Историко-культурный центр первого Президента"" управления культуры, архивов и документации Карагандинской области",Вакансия опубликована 12.01.2023,Адреса нет,полный день,Проектная работа,Выстраивание коммуникаций на родном или других языках;,https://enbek.kz/ru/vacancy/ekskursovod~2831711,Молодежная практика,
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Отдел экономики и финансов города Темиртау""",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета;,https://enbek.kz/ru/vacancy/ekonomist~2838663,Молодежная практика,Финансы
Сборщик мебели (деревянной),Производство,от 103 500 тенге,ИП Бейсен Маратбек,Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Сборка и разборка мебели;,https://enbek.kz/ru/vacancy/sborshchik-mebeli-(derevyannoi)~2826965,Молодежная практика,Сервисное обслуживание/производство
Комплектовщик мебели,Производство,от 103 500 тенге,ИП Бейсен Маратбек,Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Сборка дверей;,https://enbek.kz/ru/vacancy/komplektovshchik-mebeli~2826966,Молодежная практика,Сервисное обслуживание/производство
Изготовитель каркасов,Производство,от 103 500 тенге,ИП Бейсен Маратбек,Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Заливка расплавов металлов и сплавов в кокиль;,https://enbek.kz/ru/vacancy/izgotovitel-karkasov~2826968,Молодежная практика,Сервисное обслуживание/производство
