Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 23 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80893398
Секретарь на молочную ферму,43,от 100 000 до 130 000 KZT на руки,не требуется,ТОО Каз-хол,Вакансия опубликована 28 апреля 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",оформление документации;Работа с компьютером;Желание работать и развиваться;,https://almaty.hh.kz/vacancy/79919280
Юрисконсульт,145,з/п не указана,не требуется,АО Bereke Bank,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80474616
Техничка/уборщик,40,от 140 000 KZT до вычета налогов,не требуется,ИП Павлова С.В.,Вакансия опубликована 23 мая 2023 в Уральске,"Уральск, проспект Абая, 61/1",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80897150
Помощник архивариуса,145,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Микрокредитная организация Мегакредит,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79971990
Фасовщик,40,от 62 000 до 186 120 руб. на руки,не требуется,АКМЭ сервис,Вакансия опубликована 14 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79844664
Менеджер по подбору персонала,118,от 20 000 до 30 000 руб. на руки,не требуется,ООО Евразия Консалтинг,Вакансия опубликована 27 мая 2023 в Уральске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80453965
Мерчендайзер-грузчик,77,от 160 000 до 175 000 KZT до вычета налогов,не требуется,ТОО Бэст Прайс Казахстан,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;Умение работать в команде;Контроль сроков годности;Линейная выкладка товара;,https://almaty.hh.kz/vacancy/80590955
Бухгалтер в офис,18,от 150 000 до 150 000 KZT на руки,не требуется,"ТОО Дельта Капитал, ТОО",Вакансия опубликована 4 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79860604
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890404
Администратор торгового зала,8,от 140 000 KZT на руки,не требуется,ТОО Урал-Кров-Авто Плюс,Вакансия опубликована 15 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;CRM;Клиентоориентированность;Грамотность;Активные продажи;Навыки продаж;Деловая коммуникация;Мобильность;Продажи физическим лицам;Ведение клиентской базы;Развитие продаж;Обучение и развитие;Демонстрация автомобилей;Организаторские навыки;,https://almaty.hh.kz/vacancy/80415329
Специалист по администрированию договорной работы,40,з/п не указана,не требуется,ТОО ФЕНИКС ИНТЕРНЕШНЛ РЕСОРСИЗ КАСПИАН,Вакансия опубликована 3 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80054421
Кухонный работник (посудница-посудник),40,от 110 000 до 130 000 KZT до вычета налогов,не требуется,"Сеть супермаркетов Суровский, ИП Едаменко Андрей Александрович",Вакансия опубликована 18 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Умение работать в команде;Работа с людьми;,https://almaty.hh.kz/vacancy/80624988
