Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Стажер в Отдел по привлечению талантов,118,з/п не указана,"Beeline, ТМ",Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,Стажировка,"Грамотная речь;Работа в команде;Грамотная письменная речь;Деловая коммуникация;Опытный пользовать ПК, знание MS Office;Коммуникабельность;Умение работать с людьми;Работа в условиях многозадачности;",https://almaty.hh.kz/vacancy/80819940,,Менеджмент
Специалист отдела урегулирования убытков (отдел выплат),40,от 200 000 до 250 000 KZT до вычета налогов,АО Компания по страхованию жизни «KM Life»,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, Абая, Алмалы, улица Зенкова, 71",полный день,Полная занятость,Страховая документация;Умение планировать;,https://almaty.hh.kz/vacancy/80992188,,
Преподаватель информатики,132,от 150 000 до 150 000 KZT на руки,ТОО Білімді Болашақ,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, улица Мауленова, 85",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81254951,,
Медицинский координатор,40,от 150 000 до 170 000 KZT на руки,ТОО Сентрас Капитал,Вакансия опубликована 1 мая 2023 в Алматы,"Алматы, улица Байзакова, 125",полный день,Полная занятость,внимательность;Коммуникабельность;оперативность;,https://almaty.hh.kz/vacancy/79957814,,
Стажер в Отдел охраны труда,40,з/п не указана,ТОО Carlsberg Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"город Алматы, Райымбек батыра, улица Казыбаева, 270",полный день,Полная занятость,Ответственность;Английский язык;Аналитическое мышление;Коммуникабельность;,https://almaty.hh.kz/vacancy/81219965,,
Бухгалтер,18,з/п не указана,ТОО ISMET GROUP,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, проспект Абая, 52В",полный день,Полная занятость,Расчет затрат;Расчет заработной платы;Первичная документация;1С: Бухгалтерия;Навыки составления отчетности;Точность и внимательность к деталям;Умение работать в команде;Документооборот;Налоговая отчетность;,https://almaty.hh.kz/vacancy/80101804,,Финансы
Оператор входящей линии,40,з/п не указана,АО Банк ЦентрКредит,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, улица Айманова, 140блокБ2",полный день,Полная занятость,Деловое общение;Деловая переписка;Linux;Грамотная речь;Пользователь ПК;,https://almaty.hh.kz/vacancy/79099196,,
Преподаватель английского языка,132,от 400 до 800 USD на руки,АнтиШкола,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,удаленная работа,Частичная занятость,Английский язык;Грамотная речь;Обучение и развитие;Преподаватель;Обучение;Знание иностранных языков;Групповое обучение;Индивидуальное обучение;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80966863,,
Главный энергетик,144,от 215 000 до 250 000 KZT до вычета налогов,"ТОО Алматыэлектротранс, ТОО",Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Майлина, 79В",полный день,Полная занятость,"Охрана труда и техника безопасности;эффективно управлять временем и людьми, находящимися в подчинении;Технический контроль производства;Умение работать в коллективе;",https://almaty.hh.kz/vacancy/80922444,,Сервисное обслуживание/производство
Стажер в Отдел продаж,40,з/п не указана,ТОО Carlsberg Kazakhstan,Вакансия опубликована 29 мая 2023 в Алматы,"город Алматы, Райымбек батыра, улица Казыбаева, 270",полный день,Стажировка,Ответственность;Английский язык;Аналитическое мышление;Коммуникабельность;,https://almaty.hh.kz/vacancy/81196443,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547440,,Медицина
Blogger relations manager,40,з/п не указана,HuntIT,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Хинди;Youtube;Пользователь ПК;Performance Management;Грамотная речь;English;Business English;Advertising;Хинди — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80914302,,
