Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Ученик механика,5,до 70 000 KZT на руки,не требуется,ТОО Royal Cars Nur-Sultan,Вакансия опубликована 26 мая 2023 в Астане,"Астана, проспект Туран, 78",полный день,"Стажировка, полный день",Стремление к профессиональному росту;Пользователь ПК;Ремонт автомобилей;,https://almaty.hh.kz/vacancy/80892483
Огнеупорщик,40,з/п не указана,не требуется,Северсталь. Горнодобывающие предприятия,Вакансия опубликована 4 мая 2023 в Астане,Костомукша,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80118660
HR Специалист _Graduate School of Education (grade 12) для подачи РЕЗЮМЕ: https://smrtr,40,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 17 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80566063
Ассистент департамента аудита,54,з/п не указана,не требуется,ТОО МинТакс Аудит,Вакансия опубликована 3 мая 2023 в Астане,"Алматы, улица Кармысова, 62Б",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79637597
Сборщик дверей,40,от 150 000 до 200 000 KZT на руки,не требуется,ИП Кабидоллаева,Вакансия опубликована 10 мая 2023 в Астане,"Астана, улица Жанажол, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80253937
Конструктор швейного производства,141,от 350 000 KZT до вычета налогов,не требуется,ТОО КӨМЕК-АСТАНА,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), проспект Республики, 38",полный день,"Полная занятость, полный день",Google Chrome;MS Paint;Конструирование;Модельный бизнес;Работа с банками;,https://almaty.hh.kz/vacancy/80860366
"Специалист по обслуживанию корпоративных клиентов, г. Астана",40,з/п не указана,не требуется,"Beeline, ТМ",Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Деловая переписка;Английский язык;Деловое общение;Телефонные переговоры;Грамотная речь;,https://almaty.hh.kz/vacancy/79869315
Эксперт-оценщик,57,з/п не указана,не требуется,ТОО Birinshi Lombard (Бірінші Ломбард),Вакансия опубликована 23 мая 2023 в Астане,"Алматы, улица Розыбакиева, 37",полный день,"Полная занятость, полный день",Работа с клиентами;Точность и внимательность к деталям;Опытный пользователь ПК;Навыки работы с оргтехникой;Материальная ответственность;,https://almaty.hh.kz/vacancy/80858458
Повар на лагманное тесто и лепку пельменей,94,от 120 000 KZT на руки,не требуется,ИП Хусез,Вакансия опубликована 4 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80118712
Помощник юриста,146,от 120 000 до 120 000 KZT до вычета налогов,не требуется,ТОО MM Group Stroy,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), проспект Мангилик Ел, 38",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Работа с людьми;Консультирование клиентов;Работа с юридическими лицами;,https://almaty.hh.kz/vacancy/80096591
Медицинский представитель,65,от 250 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996253
Бухгалтер по молодежной практике через центр Занятости,18,от 120 000 KZT до вычета налогов,не требуется,ТОО Исток Аудио Казахстан,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Высшее образование;Умение быстро усваивать новую информацию;Знание компьютера;Ответственность и пунктуальность;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80856928
Мерчендайзер,77,з/п не указана,не требуется,ТОО Almatytrade,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Активные продажи;Поиск и привлечение клиентов;Планирование продаж;,https://almaty.hh.kz/vacancy/80019337
HR-специалист,118,до 250 000 KZT на руки,не требуется,ТОО Ined.kz (Индустрия Недвижимости),Вакансия опубликована 27 мая 2023 в Астане,"Нур-Султан (Астана), улица Сыганак, 47",полный день,"Полная занятость, полный день","Работа в условиях многозадачности;Работа в команде;HR;Стабильность;Желание работать и развиваться;Ориентация на результат;Точность и внимательность к деталям;Умение слушать;Оценка кандидатов;Опытный пользователь ПК, знание MS Office;Подбор персонала;",https://almaty.hh.kz/vacancy/80197842
Помощник специалиста по закупкам,66,от 120 000 KZT до вычета налогов,не требуется,ТОО QNP-KZ,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Пользователь ПК;Работа с базами данных;Работа с большим объемом информации;Грамотность;Знание Word, Excel;Стремление к профессиональному развитию;Закупка товаров и услуг;Планирование карьеры;",https://almaty.hh.kz/vacancy/80438546
Стажер - Мастер общестрой,100,до 120 000 KZT до вычета налогов,не требуется,ТОО BI-Development (ТМ BI GROUP),Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80646686
