Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор ресепшен в фитнес клуб,8,от 150 000 до 250 000 KZT на руки,не требуется,"ИП Фитнес клуб FITWorx, ТМ (Мушкенов)",Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), проспект Шакарима Кудайбердиулы, 18А",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81118926
Менеджер отдела логистики,67,от 200 000 KZT на руки,не требуется,ТОО ТД Керамин - Астана,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Продажи;1С: Торговля;Знание 1С;Желание работать и зарабатывать;1C: Предприятие;,https://almaty.hh.kz/vacancy/79880155
Администратор,8,от 120 000 до 150 000 KZT на руки,не требуется,ТОО BOSHANOV DENTAL CLINIC,Вакансия опубликована 17 мая 2023 в Астане,"Нур-Султан (Астана), улица Шарля де Голля",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Грамотность;Работа в команде;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80590959
Мастер по обработке искусственного камня,40,от 300 000 до 400 000 KZT на руки,не требуется,ИП Уалиев Е.С,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Коммуникабельность;Готовность обучаться;Работа в команде;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80335108
Офис-ассистент,40,з/п не указана,не требуется,ТОО Центр немецкого языка Астана,Вакансия опубликована 10 мая 2023 в Астане,"Астана, проспект Бауыржана Момышулы, 12Б",полный день,"Полная занятость, полный день",Консультирование клиентов;Немецкий язык;Социальные сети;Немецкий — A2 — Элементарный;,https://almaty.hh.kz/vacancy/80210283
HR Стажер,118,от 101 000 до 101 000 KZT на руки,не требуется,ТОО ZAKUPKI.KZ,Вакансия опубликована 18 мая 2023 в Астане,"Астана, проспект Мангилик Ел, 20",полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80647372
Личный ассистент руководителя с навыками SMM,40,от 100 000 до 250 000 KZT до вычета налогов,не требуется,ТОО ХОД КОНЕМ-2021,Вакансия опубликована 29 апреля 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Организаторские навыки;Работа с большим объемом информации;Организация мероприятий;Многозадачность;Навыки презентации;Работа в режиме многозадачности;Дисциплинированный;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79938628
Администратор офиса,140,от 200 000 до 200 000 KZT на руки,не требуется,ИП Тлейхан А,Вакансия опубликована 10 мая 2023 в Астане,Астана,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80223053
Кредитный консультант,57,з/п не указана,не требуется,АО Home Credit Bank,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80352771
Преподаватель английского языка / IELTS онлайн / оффлайн,132,до 300 000 KZT до вычета налогов,не требуется,ИП Академия английского языка Albus,Вакансия опубликована 22 мая 2023 в Астане,"Нур-Султан (Астана), улица Кенесары, 8",гибкий график,"Частичная занятость, гибкий график",Организаторские навыки;Организация учебного процесса;Грамотная речь;Английский язык;Английский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80817672
Дизайнер-консультант в ателье мебели Mr.Doors,34,от 150 000 до 1 000 000 KZT на руки,не требуется,ТОО Стильная мебель,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Достык, 3",полный день,"Полная занятость, полный день",Дизайн интерьера;Работа в команде;Дизайн;Ориентация на клиента;Умение принимать решения;Многозадачность;Грамотная речь;Креативность;Обучение и развитие;MS PowerPoint;MS Word;MS Excel;Чувство стиля;,https://almaty.hh.kz/vacancy/81069799
Инженер автоматизированных систем управления,40,от 150 000 KZT на руки,не требуется,ТОО ЯСАР,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Электрические системы и слаботочные системы;Пуско-наладочные работы;,https://almaty.hh.kz/vacancy/80275197
Ассистент HR-менеджера,118,до 180 000 KZT до вычета налогов,не требуется,ТОО PMC Intellect,Вакансия опубликована 12 мая 2023 в Астане,"Астана, улица Динмухамеда Кунаева, 14",полный день,"Полная занятость, полный день",Ответственность;Пунктуальность;Исполнительность;Работа с компьютером;Google продукты;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80331459
Изготовитель печатей и штампов,40,от 90 000 до 200 000 KZT до вычета налогов,не требуется,ИП Astana Service,Вакансия опубликована 1 мая 2023 в Астане,"Астана, проспект Кабанбай батыра, 2/2",полный день,"Полная занятость, полный день",Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/79951502
"Мастер массажа в спа-салон ""G_spa""",40,от 200 000 до 500 000 KZT до вычета налогов,не требуется,ИП Novicamsever,Вакансия опубликована 10 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80249465
Диспетчер-оператор,39,от 100 000 до 101 000 KZT на руки,не требуется,ТОО High Vill Park 2 A Service,Вакансия опубликована 5 мая 2023 в Астане,"Нур-Султан (Астана), улица Бухар Жырау, 20Б",полный день,"Частичная занятость, полный день",Консультирование клиентов по телефону;входящие звонки;исходящие звонки;Пользователь ПК;,https://almaty.hh.kz/vacancy/80130899
Сервисный инженер (Видеонаблюдение),111,от 220 000 до 220 000 KZT до вычета налогов,не требуется,ТОО Домофон Сервис НУР-СУЛТАН,Вакансия опубликована 5 мая 2023 в Астане,"Нур-Султан (Астана), проспект Женис, 50",полный день,"Полная занятость, полный день","Работа в команде;Планирование и организация;Умение организовать работу, планировать, принимать решения;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80145271
Помощник повара в кафе быстрого питания El Burrito,94,от 165 000 до 190 000 KZT на руки,не требуется,ИП Тимирбаева А.К.,Вакансия опубликована 11 мая 2023 в Астане,Astana,полный день,"Полная занятость, полный день",Повар;Мексиканская кухня;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79966720
Менеджер по туризму,72,от 50 000 до 500 000 KZT до вычета налогов,не требуется,ИП Qulpynai Tour,Вакансия опубликована 30 апреля 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79947996
Менеджер в прачечную Колибри,8,от 150 000 до 250 000 KZT на руки,не требуется,ТОО Vita Service 2016,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80905896
Администратор,8,от 60 000 до 200 000 KZT до вычета налогов,не требуется,ИП Igra,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Продажи;Чистоплотность;Грамотная речь;Работа в команде;Опрятный внешний вид;,https://almaty.hh.kz/vacancy/80300033
Помощник Частного судебного исполнителя,146,от 90 000 KZT на руки,не требуется,ЧСИ Тубетова Ж.М,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80469856
Эксперт-оценщик,57,от 200 000 до 250 000 KZT на руки,не требуется,ТОО МИК Ломбард,Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Умение быстро усваивать новую информацию;Знание 1С;Опрятный внешний вид;Грамотная речь;Адекватность;Коммуникабельность, стрессоустойчивость;Коммуникабельность, ответственность;Владение компьютером;Казахский — A1 — Начальный;Русский — A1 — Начальный;",https://almaty.hh.kz/vacancy/80008407
Стажер - помощник инженера AV-оборудования,121,от 100 000 KZT на руки,не требуется,ТОО BREM group,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Бигельдинова, 12",полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/81077252
Менеджер по заявкам,54,от 150 000 до 170 000 KZT на руки,не требуется,ТОО Евровкус Астана филиал,Вакансия опубликована 15 мая 2023 в Астане,"Астана, микрорайон Шубар, улица Елубая Тайбекова, 81",полный день,"Полная занятость, полный день",Внимательность;Грамотная речь;Пользователь ПК;Грамотность;Ведение переговоров;Деловая переписка;Деловое общение;Телефонные переговоры;Internet;Работа с оргтехникой;MS Excel;MS Word;,https://almaty.hh.kz/vacancy/80399012
Тренер групповых программ,138,от 200 000 до 450 000 KZT до вычета налогов,не требуется,ТОО BeFit AST,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",Фитнес;Ориентация на клиента;Групповое обучение;,https://almaty.hh.kz/vacancy/80530326
Эксперт-аналитик,40,от 70 000 до 182 000 KZT до вычета налогов,не требуется,Филиал Международный центр оценки вод Общественного фонда Исполнительная Дирекция Международного Фонда спасения Арала в Республике Казахстан,Вакансия опубликована 4 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в условиях многозадачности;Работа в команде;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80087021
Менеджер по продажам,40,от 300 000 до 2 000 000 KZT на руки,не требуется,ООО Дахмира KZ,Вакансия опубликована 11 мая 2023 в Астане,"Астана, улица Кенесары, 40",полный день,"Полная занятость, полный день",Деловое общение;Телефонные переговоры;Обучение и развитие;Знание компьютера;B2B Продажи;,https://almaty.hh.kz/vacancy/80272425
Администратор стоматологической клиники,8,от 140 000 KZT на руки,не требуется,ИП Dent house,Вакансия опубликована 2 мая 2023 в Астане,"Астана, улица Достык, 10",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79969382
Специалист поверочной лаборатории,152,от 150 000 до 170 000 KZT на руки,не требуется,ТОО КазСтандарт Азия,Вакансия опубликована 3 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Навыки межличностного общения;Знание MS Office;,https://almaty.hh.kz/vacancy/80026316
Детский психолог,101,от 120 000 до 200 000 KZT на руки,не требуется,ИП ABA-START,Вакансия опубликована 24 мая 2023 в Астане,"Астана, проспект Улы Дала, 54",полный день,"Полная занятость, полный день",Детская психология;,https://almaty.hh.kz/vacancy/80946846
Мастер по аппаратной коррекции фигуры,8,от 120 000 до 180 000 KZT до вычета налогов,не требуется,ИП Neo Laser,Вакансия опубликована 23 мая 2023 в Астане,"Астана, улица Кайыма Мухамедханова",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80877579
Мастер по заправке картриджей,40,от 200 000 до 250 000 KZT на руки,не требуется,ТОО МегаКомпСервис,Вакансия опубликована 18 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Работа с оргтехникой;Офисная техника;Заправка картриджей;Ремонт ноутбуков;Ремонт оргтехники;Ремонт компьютеров;Работать в команде;Умение слушать;Владение компьютером;Работа в условиях многозадачности;Желание обучаться;,https://almaty.hh.kz/vacancy/80665817
Врач-косметолог,56,от 250 000 до 450 000 KZT на руки,не требуется,ТОО PORTOFINO LT,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80518184
Специалист по работе с детьми,40,от 35 000 KZT на руки,не требуется,ИП Академия инновационного развития,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Проектная работа/разовое задание, полный день",Умение работать с детьми;Любовь к детям;Педагогика;Организаторские навыки;Работа с детьми;Творчество;Грамотная речь;Креативность;Детская психология;Английский язык;Танцы;Организация мероприятий;Навыки межличностного общения;Терпеливость;Творческий подход к работе;Эффективное решение проблем;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80305328
Торговый агент,129,от 176 000 до 378 000 KZT на руки,не требуется,ТОО Import Sauda Center,Вакансия опубликована 17 мая 2023 в Астане,"Астана, проспект Сарыарка, 31/2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80550455
Повар,94,от 150 000 до 350 000 KZT до вычета налогов,не требуется,ТОО Change Design,Вакансия опубликована 10 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80253389
Менеджер по продажам/консультант,40,от 250 000 KZT до вычета налогов,не требуется,ИП KopKop Store,Вакансия опубликована 16 мая 2023 в Астане,"Астана, улица Сыганак, 39/1",полный день,"Полная занятость, полный день",Пунктуальность;Ответственность;Быстро обучаемый;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80484680
Разнорабочий в химчистку,40,от 120 000 до 120 000 KZT до вычета налогов,не требуется,ИП Жанатович,Вакансия опубликована 2 мая 2023 в Астане,"Астана, проспект Богенбай батыра, 16",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79960543
Мастер маникюра / мастер ногтевого сервиса,61,от 250 000 до 400 000 KZT на руки,не требуется,ИП Абенова М.М.,Вакансия опубликована 18 мая 2023 в Астане,Нур-Султан (Астана),полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Умение работать в команде;,https://almaty.hh.kz/vacancy/79508073
Менеджер по туризму,72,з/п не указана,не требуется,ТОО Lady Travel,Вакансия опубликована 5 мая 2023 в Астане,"Астана, проспект Республики, 32",полный день,"Полная занятость, полный день",Выездной туризм;Пользователь ПК;Грамотная речь;Прямые продажи;Навыки продаж;Навыки работы с возражениями;продажа туристических услуг;Знание офисных программ;СРМ;Умение вести переговоры;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80137367
Замерщик ролл штор и жалюзи,40,от 200 000 до 500 000 KZT на руки,не требуется,ТОО Rollup.kz,Вакансия опубликована 1 мая 2023 в Астане,Астана,гибкий график,"Полная занятость, гибкий график",Работа в команде;Умение работать в команде;Мобильность;Умение пользоваться шруповертом;,https://almaty.hh.kz/vacancy/79952194
Рабочий в цех,40,от 110 000 до 150 000 KZT на руки,не требуется,ТОО AURA SU,Вакансия опубликована 15 мая 2023 в Астане,"Нур-Султан (Астана), улица Сакена Сейфуллина, 48/9",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80405270
Специалист по внедрению и сопровождению ПО,121,от 90 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Dilau Service,Вакансия опубликована 16 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день","Навыки работы с большим объемом информации;Готовность обучаться;Опытный пользовать ПК, знание MS Office;Аналитические навыки;Уверенное знание ПК;Базовые знания SQL;",https://almaty.hh.kz/vacancy/80474098
OPP Specialist,121,з/п не указана,не требуется,ТОО Tarkett kaz/Таркетт каз,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80360329
Ресепшионист,72,от 110 000 до 120 000 KZT на руки,не требуется,ТОО Курылыс Инвест Компани,Вакансия опубликована 4 мая 2023 в Астане,"Астана, улица Ахмета Байтурсынова, 5",сменный график,"Частичная занятость, сменный график",Прием посетителей;Работа в команде;Консультирование клиентов по телефону;Ведение отчетности;Прием и распределение звонков;,https://almaty.hh.kz/vacancy/80077795
Ювелир-мастер,40,от 350 000 до 500 000 KZT на руки,не требуется,ИП Давудов Б.Д,Вакансия опубликована 24 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80930222
Повар универсал,94,от 150 000 до 280 000 KZT на руки,не требуется,ТОО Rafe (АНТАРЕКС-2030 ТОО),Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81135629
Сварщик-помощник сварщика,109,от 200 000 до 400 000 KZT на руки,не требуется,ТОО Wood Steel,Вакансия опубликована 9 мая 2023 в Астане,"Нур-Султан (Астана), микрорайон Коктал, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/77863324
Контролер-ревизор,18,от 120 000 до 200 000 KZT до вычета налогов,не требуется,ИП САДИ,Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Инвентаризация;Учет остатков;Работа с ТМЦ;,https://almaty.hh.kz/vacancy/80424442
Ковромойщик на химчистку ковров,40,от 250 000 до 250 001 KZT до вычета налогов,не требуется,ТОО Vita Service 2016,Вакансия опубликована 9 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80196881
Консультант 1С/Системный администратор,113,от 160 000 до 250 000 KZT на руки,не требуется,ТОО POSCENTER.KZ,Вакансия опубликована 11 мая 2023 в Астане,"Нур-Султан (Астана), микрорайон Юго-Восток (левая сторона), улица Ыргыз, 25",полный день,"Полная занятость, полный день",Грамотная речь;Грамотность;Windows 7;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/80273406
Оператор в копировальный центр,84,от 103 500 до 126 500 KZT до вычета налогов,не требуется,ТОО БухПрофиСервис,Вакансия опубликована 22 мая 2023 в Астане,"Астана, улица Бейбитшилик, 25",полный день,"Полная занятость, полный день",Коммуникабельность;Ответственность;Пользователь ПК;Работа с оргтехникой;Поиск информации в интернет;Электронная почта;Ксерокс;Грамотная устная и письменная речь;Работа в команде;оформление заказов;Точность и внимательность к деталям;работа с физическими лицами;,https://almaty.hh.kz/vacancy/80830514
Инженер разработчик решений в области систем Вентиляции и Тепло-Холодоснабжения,47,з/п не указана,не требуется,ТОО Грейхаунд МА,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Разработка технических заданий;MS PowerPoint;Аналитическое мышление;Многозадачность;Реконструкция;,https://almaty.hh.kz/vacancy/80270573
Врач стоматолог-хирург,24,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ТОО Учебно-клинический центр Стоматология,Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;Грамотная речь;Работа в команде;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/78140704
Мастер лазерной эпиляции,40,от 150 000 до 180 000 KZT до вычета налогов,не требуется,ИП Only Skin,Вакансия опубликована 18 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",Обучение и развитие;Оказание услуг;Клиентоориентированность;Медицинское оборудование;Документальное сопровождение;Ориентация на клиента;Обучение персонала;Грамотная речь;Консультирование;Работа с людьми;,https://almaty.hh.kz/vacancy/80645792
Рекрутер,118,от 400 до 1 000 EUR до вычета налогов,не требуется,ИП Макашев,Вакансия опубликована 8 мая 2023 в Астане,"Астана, проспект Мангилик Ел, 27/1",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80189932
Менеджер Бизнес Проектов (Тендеры),137,от 150 000 до 500 000 KZT до вычета налогов,не требуется,ТОО KazTradeSystems,Вакансия опубликована 12 мая 2023 в Астане,"Нур-Султан (Астана), улица Беимбета Майлина, 37",полный день,"Полная занятость, полный день",Умение работать в коллективе;Работа в команде;Деловая переписка;Работа с большим объемом информации;Навыки работы с документацией;MS Excel;Желание учиться;Ведение переписки;Сбор и анализ информации;Деловая этика;Excel;Госзакупки;Ведение деловой переписки;Пользователь ПК;Деловое общение;,https://almaty.hh.kz/vacancy/80368171
Инженер по планированию вертолетов западного производства,40,от 350 000 до 350 000 KZT до вычета налогов,не требуется,"Казавиаспас, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",оформление документации;Работа с документами;,https://almaty.hh.kz/vacancy/80154392
Начинающий специалист,40,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Анобтаниум,Вакансия опубликована 4 мая 2023 в Астане,"Нур-Султан (Астана), проспект Кабанбай Батыра, 6/1",полный день,"Полная занятость, полный день",Грамотная речь;Деловая переписка;Прием и распределение телефонных звонков;Грамотность;Делопроизводство;,https://almaty.hh.kz/vacancy/80078663
Менеджер по работе с клиентами,154,от 200 000 до 200 000 KZT до вычета налогов,не требуется,ИП Сатимбекова Ж.С.,Вакансия опубликована 11 мая 2023 в Астане,Астана,полный день,"Полная занятость, полный день",Казахский — A1 — Начальный;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80308889
Установщик электрооборудования (gps-оборудований на транспорт),5,от 150 000 KZT на руки,не требуется,ТОО GPS СЕРВИС,Вакансия опубликована 15 мая 2023 в Астане,"Нур-Султан (Астана), улица Жумабека Ташенова, 1",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;MS PowerPoint;,https://almaty.hh.kz/vacancy/80400139
Преподаватель по подготовке к школе,132,до 150 000 KZT на руки,не требуется,ИП Масалимова,Вакансия опубликована 19 мая 2023 в Астане,"Астана, проспект Туран, 55Е",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80699345
Менеджер по логистике,67,до 250 000 KZT до вычета налогов,не требуется,ИП Bolat LTD,Вакансия опубликована 10 мая 2023 в Астане,"Астана, улица Динмухамеда Кунаева, 12/1",полный день,"Полная занятость, полный день",Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80240949
Медицинский представитель,65,от 250 000 KZT на руки,не требуется,ТОО Ротафарм,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Ведение переговоров;Активные продажи;Поиск и привлечение клиентов;Навыки продаж;Работа в команде;,https://almaty.hh.kz/vacancy/80861636
Кредитный менеджер,57,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО МФО КАРФИН,Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79711304
Менеджер по государственным закупкам,66,от 120 000 до 200 000 KZT на руки,не требуется,ТОО ЛН-Астана,Вакансия опубликована 3 мая 2023 в Астане,"Нур-Султан (Астана), проспект Кабанбай Батыра, 2/2",полный день,"Полная занятость, полный день","Желание работать и зарабатывать;Ответственность и пунктуальность;Умение работать в условиях многозадачности;Коммуникабельность, ответственность;Умение организовывать работу, планировать;Закупка товаров и услуг;",https://almaty.hh.kz/vacancy/80045098
Торговый представитель,129,от 150 000 KZT на руки,не требуется,АА+ Каз,Вакансия опубликована 24 мая 2023 в Астане,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Ведение переговоров;Деловое общение;Активные продажи;Поиск и привлечение клиентов;Казахский — A1 — Начальный;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80979255
Повар в детский сад,94,з/п не указана,не требуется,ИП Жуманова Г. А.,Вакансия опубликована 12 мая 2023 в Астане,"Астана, жилой комплекс Арнау, 4",полный день,"Полная занятость, полный день",Работа в команде;Общественное питание;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80377458
Кондитер/Специалист по варке карамели,40,от 160 000 до 176 000 KZT на руки,не требуется,ТОО Наурыз - 21,Вакансия опубликована 12 мая 2023 в Астане,"Нур-Султан (Астана), проспект Женис, 75к2",полный день,"Полная занятость, полный день",Работа в команде;,https://almaty.hh.kz/vacancy/79668291
Монтажник оборудования для бассейнов,78,з/п не указана,не требуется,ТОО Компания Дискавери,Вакансия опубликована 22 мая 2023 в Астане,"Астана, пр.Б.Момышулы, 37",полный день,"Полная занятость, полный день",Пользователь ПК;Умение работать в команде;Деловая переписка;,https://almaty.hh.kz/vacancy/80794891
Эксперт-оценщик / кассир,57,от 220 000 до 228 000 KZT до вычета налогов,не требуется,ТОО Фирма S Ломбард Кокше,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Работа с клиентами;Работа с оргтехникой;Умение быстро усваивать новую информацию;Быстрое обучение;Материальная ответственность;Точность и внимательность;,https://almaty.hh.kz/vacancy/80856534
Монтажник слаботочник,78,от 200 000 до 250 000 KZT на руки,не требуется,ИП Qart,Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Монтаж оборудования;Точность и внимательность к деталям;Проектирование и монтаж пожарной сигнализации;Проектирование и монтаж систем оповещения;,https://almaty.hh.kz/vacancy/80391796
Столяр,128,от 120 000 до 200 000 KZT на руки,не требуется,ТОО Иман Снаб,Вакансия опубликована 19 мая 2023 в Астане,"Астана, микрорайон Юго-Восток (левая сторона), улица Иле, 30/2",полный день,"Полная занятость, полный день","Деревообработка;Ответственность и пунктуальность;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80684640
Специалист сервиса,40,з/п не указана,не требуется,ТОО AquaPoint,Вакансия опубликована 10 мая 2023 в Астане,"Астана, улица Аскара Токпанова, 27",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80237668
Младший консультант в группу по ESG,40,от 150 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Dostyk Advisory,Вакансия опубликована 19 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80725441
Бухгалтер,18,от 120 000 KZT на руки,не требуется,ТОО Standart Construction Group,Вакансия опубликована 16 мая 2023 в Астане,"Нур-Султан (Астана), улица Куйши Дина, 17",полный день,"Полная занятость, полный день",Банк-клиент;1С: Бухгалтерия;Расчет заработной платы;реализация товаров и услуг;Кадровое делопроизводство;Первичная документация;,https://almaty.hh.kz/vacancy/80288385
Менеджер по работе с клиентами,40,от 50 000 до 50 000 KZT на руки,не требуется,ТОО Север-Сталь Компани,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Габидена Мустафина, 46",гибкий график,"Частичная занятость, гибкий график",Умение работать с людьми;Грамотный русский язык;Телефонные переговоры;Навыки телефонных продаж;Консультирование клиентов по телефону;Грамотная речь;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80873024
Педагог-воспитатель в детский центр развития,132,от 100 000 до 120 000 KZT до вычета налогов,не требуется,ИП BeeSmart,Вакансия опубликована 10 мая 2023 в Астане,"Астана, улица Достык, 5",полный день,"Частичная занятость, полный день",Грамотная речь;Творческое мышление;Пользователь ПК;Грамотность;Работа в команде;Коммуникативные навыки;Креативность;Ответственность;,https://almaty.hh.kz/vacancy/80249904
Педагог-воспитатель в детский центр развития ''Beesmart club'',132,от 80 000 до 100 000 KZT на руки,не требуется,ИП BeeSmart,Вакансия опубликована 15 мая 2023 в Астане,"Астана, улица Достык, 5",полный день,"Частичная занятость, полный день",Грамотная речь;Творческое мышление;Пользователь ПК;Грамотность;Работа в команде;Коммуникативные навыки;Креативность;Ответственность;,https://almaty.hh.kz/vacancy/80404851
Газорезчик,40,от 210 000 KZT на руки,не требуется,ТОО YerTemir,Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Работа в условиях многозадачности;Желание обучаться;,https://almaty.hh.kz/vacancy/80405817
