Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Медицинская сестра/медицинский брат,64,з/п не указана,не требуется,ТОО Стоматологическая клиника «Axis Dent»,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Байтурсынова, 45",полный день,"Полная занятость, полный день",Навыки межличностного общения;Умение работать в команде;,https://almaty.hh.kz/vacancy/80210647
Менеджер по продажам,40,от 150 000 KZT на руки,не требуется,ТОО MILESAX (Майлсакс),Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",1С: Розница;Оператор ПК;Активные продажи;оформление заказов;Internet;Продажи;B2B;B2C;Высокие коммуникативные навыки;Работа с компьютером;Творческий подход к продажам;Казахский — A1 — Начальный;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80693570
Водитель-экспедитор,85,от 180 000 KZT на руки,не требуется,ТОО Nuri Kazakhstan (Нури Казахстан),Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, улица Макатаева, 117",полный день,"Полная занятость, полный день",оформление документации;,https://almaty.hh.kz/vacancy/80074046
Помощник Оператора гравировочного станка / Оператора гравировочного станка,85,от 100 000 KZT на руки,не требуется,ТОО ZAN Юридическая Компания,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, улица Тургут Озала, 245",гибкий график,"Частичная занятость, гибкий график",Опытный пользователь ПК;CorelDRAW;Быстрый набор текста;Умение работать в условиях многозадачности;Грамотная письменная речь;,https://almaty.hh.kz/vacancy/81045217
Менеджер по продажам логистических услуг,67,з/п не указана,не требуется,ТОО KAZAKHSTAN TRADING CORPORATION,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Деловое общение;Холодные звонки;Телефонные переговоры;Прием и распределение телефонных звонков;Грамотная речь;,https://almaty.hh.kz/vacancy/80825275
Слесарь по металлу,40,от 150 000 до 180 000 KZT на руки,не требуется,ИП Жаманкулов,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80413196
Рекрутер,118,от 150 000 до 350 000 KZT на руки,не требуется,ТОО Атриум Home,Вакансия опубликована 5 мая 2023 в Алматы,"Алматы, Алатау, проспект Абая, 151/115",гибкий график,"Частичная занятость, гибкий график",Подбор персонала;Обучение и развитие;Адаптация персонала;Деловое общение;Оценка кандидатов;,https://almaty.hh.kz/vacancy/80132799
Формовщик бетонных шпал,40,от 180 000 до 250 000 KZT на руки,не требуется,ТОО InnoTrack,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96А",полный день,"Полная занятость, полный день",Работа в команде;Adobe Reader;Поиск и анализ информации;Основы маркетинга;,https://almaty.hh.kz/vacancy/80270748
Технический специалист,111,з/п не указана,не требуется,ТОО K-Alarm (Кей-Аларм),Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80350708
"Стажер по работе с программой ""МойСклад""",40,з/п не указана,не требуется,ИП Lamper,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Шевченко, 204",гибкий график,"Стажировка, гибкий график",Работа в условиях многозадачности;Готовность обучаться;,https://almaty.hh.kz/vacancy/80643836
