Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,Частичная занятость,Подбор персонала;,https://almaty.hh.kz/vacancy/81012462,,Менеджмент
Электромонтажник/Монтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,Вахтовый метод,Полная занятость,Производство строительно-монтажных работ;Монтаж металлоконструкций;Пользователь ПК;Строительство;,https://almaty.hh.kz/vacancy/77697217,,Сервисное обслуживание/производство
Сервисный инженер по ремонту пк и оргтехники,114,от 180 000 до 250 000 KZT на руки,ТОО Монтеко,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, улица Гоголя, 32",полный день,Полная занятость,Ремонт ПК;Работа с оргтехникой;Администрирование;Умение принимать решения;Техническое обслуживание;Настройка ПК;Сборка ПК;Установка ПО;Работа с компьютером;,https://almaty.hh.kz/vacancy/80572245,,IT
Монтажник технологического оборудования,78,от 250 000 до 350 000 KZT до вычета налогов,ТОО KSM,Вакансия опубликована 17 мая 2023 в Караганде,"Караганда, 218-й учетный квартал",полный день,Полная занятость,Сборочное производство;Организация производства;Умение работать в команде;Ориентация на результат;Стабильность;Обучение и развитие;,https://almaty.hh.kz/vacancy/79730853,,
Помощник архитектора,14,от 100 000 до 140 000 KZT до вычета налогов,ИП G-Group,Вакансия опубликована 9 мая 2023 в Караганде,"Караганда, Московская улица, 4",полный день,Полная занятость,Работа с чертежами;Чувство стиля;Профессиональный пользователь ПК;Скорость;Рассудительность;AutoCAD;3ds Max;SketchUp;corona-render;,https://almaty.hh.kz/vacancy/80200415,,Строительство и архитектура
Инженер-сметчик,47,от 135 000 до 150 000 KZT до вычета налогов,ИП GSD,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81021696,,Сервисное обслуживание/производство
Регистратор,8,з/п не указана,МЕДИЦИНСКИЙ УНИВЕРСИТЕТ КАРАГАНДЫ,Вакансия опубликована 16 мая 2023 в Караганде,"Караганда, улица Гоголя, 40",полный день,Полная занятость,Ведение пациентов;Регистрация;Пользователь ПК;,https://almaty.hh.kz/vacancy/80468504,,
Бухгалтер-оператор,18,от 194 000 KZT на руки,ТОО Flip.kz,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Гапеева, 9/2",полный день,Полная занятость,Работа с поставщиками;Работа с ТМЦ;Умение работать с большим объемом информации;оформление документации;Работа с документами;Уверенный пользователь ПК;Знание 1С;Excel;,https://almaty.hh.kz/vacancy/79100067,,Финансы
Авиаагент,40,з/п не указана,ТОО ПУЛКОВО КАЗАХСТАН,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Способность быстро обучаться;Общение с людьми;Обучение и развитие;Грамотная речь;,https://almaty.hh.kz/vacancy/80547915,,
Сборщик металлопластиковых изделий/ученик сборщика,40,от 150 000 до 350 000 KZT до вычета налогов,ТОО Окна-Плюс Ltd,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Гоголя, 86",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81211132,,
Помощник бухгалтера,18,от 170 000 KZT до вычета налогов,ТОО Евротехно Логистик,Вакансия опубликована 4 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 33/4",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80108189,,Финансы
Мастер стажер,100,от 192 500 KZT на руки,ТОО Фирма Жилой фонд,Вакансия опубликована 16 мая 2023 в Караганде,"Karagandy, Nursultan Nazarbaev Avenue, 20",полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80472031,,
Торговый представитель,129,от 300 000 KZT на руки,ООО Восхождение,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80867583,,
Менеджер по набору и выводу персонала,40,от 100 000 до 500 000 KZT до вычета налогов,ИП OUTSTAFF,Вакансия опубликована 11 мая 2023 в Караганде,"Караганда, Штурманская улица, 1/9",полный день,Полная занятость,"ТОО ""OUTSTAFF"";Пользователь ПК;Ведение отчетности;Грамотная речь;Работа в команде;Организаторские навыки;Деловое общение;Управление персоналом;Заключение договоров;Ведение переговоров;Деловая переписка;Телефонные переговоры;Работа с большим объемом информации;Работа в условиях многозадачности;Организация и планирование рабочего времени;Способность работать с документами;Работа с компьютером;Честный;Правильно расставлять приоритеты;Серьезность;Высокая энергичность;Передача документации на исполнение;",https://almaty.hh.kz/vacancy/80269938,,
Администратор торгового зала,84,от 150 000 до 150 000 KZT на руки,ТОО Кристалл Авто,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в команде;Деловая этика;Грамотная речь;Оценка потребностей клиентов;Пользователь ПК;Демонстрация автомобилей;Деловое общение;Прием и распределение телефонных звонков;Ведение отчетности;Клиентоориентированность;Работа с клиентами;,https://almaty.hh.kz/vacancy/80787362,,IT
Специалист по работе с интернет-магазинами,54,от 150 000 KZT на руки,ТОО Пони Экспресс,Вакансия опубликована 26 мая 2023 в Караганде,Караганда,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81085493,,Менеджмент
Специалист по подбору персонала,118,от 180 000 до 200 000 KZT на руки,ТОО Алып-2008,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,Полная занятость,Грамотная речь;Подбор персонала;Поиск информации в интернет;Телефонные переговоры;оформление документации;Навыки телефонных продаж;Поиск персонала в открытых источниках;Проведение собеседований;Подбор сотрудников;Составление предложений о работе;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79382506,,Менеджмент
Специалист лазерной эпиляции / Косметолог,40,от 60 000 руб. на руки,Lalaser Land,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,гибкий график,Частичная занятость,Активные продажи;Аппаратная косметология;Навыки продаж;Консультирование клиентов;Массаж лица;Эстетическая косметология;,https://almaty.hh.kz/vacancy/80463047,,
Мерчендайзер,77,от 180 000 до 180 000 KZT на руки,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Караганде,"Караганда, Заводская улица, 19",полный день,Полная занятость,Мерчандайзинг;Дегустации;Проведение промо акций;Контроль работы промоутеров;Выкладка товаров;Пополнение товарных запасов;,https://almaty.hh.kz/vacancy/80166727,,
"Мастер по Ремонту телефонов, ноутбуков",111,от 200 000 до 400 000 KZT до вычета налогов,ИП ШАЦКИЙ ДМИТРИЙ ВЛАДИМИРОВИЧ,Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Ремонт ПК;Пользователь ПК;Грамотная речь;Сборка ПК;Настройка ПК;,https://almaty.hh.kz/vacancy/80467285,,Сервисное обслуживание/производство
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239869,,
Специалист техподдержки по лазерным станкам,121,от 180 000 KZT на руки,ТОО CALIDAD,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, Мельничная улица, 4",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80831492,,
Эксперт-оценщик,40,от 150 000 до 250 000 KZT на руки,ТОО Ломбард «Евразия»,Вакансия опубликована 1 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79955446,,
Ассистент аналитика,54,до 180 000 KZT до вычета налогов,ТОО ПАКТ,Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в команде;MS Internet Explorer;оформление заказов;Составление отчетности;Внутренняя документация;MS Office;Пользователь ПК;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/79953355,,Менеджмент
Диспетчер-оператор,39,от 150 000 KZT на руки,ТОО Honmil Group,Вакансия опубликована 3 мая 2023 в Караганде,"Караганда, 018-й учетный квартал, 252",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80022015,,
Менеджер по работе с клиентами,67,от 150 000 KZT на руки,ТОО BTV Cargo,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Карла Маркса, 39",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81221282,,
Разнорабочий/Стропальщик (Юго-Восток),40,от 220 000 до 300 000 KZT на руки,ТОО Фирма Жилой фонд,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Стропальщик;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80855854,,
Промоутер-консультант/Хостес (табачный бренд),140,от 160 000 до 200 000 KZT до вычета налогов,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,Частичная занятость,Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80090411,,
Специалист технической поддержки,121,от 140 000 KZT на руки,ТОО WOOPPAY,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Быстрый набор текста;Работа в команде;Казахский язык;Грамотная речь;Работа с большим объемом информации;Пользователь ПК;,https://almaty.hh.kz/vacancy/75956479,,
Сторож-Кочегар-Дворник,40,з/п не указана,ИП Селиванова У.В.,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Молокова, 112/35",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81199062,,
