Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Работник цеха,85,от 180 000 до 250 000 KZT на руки,не требуется,ТОО World Pak,Вакансия опубликована 24 мая 2023 в Петропавловске,"Петропавловск, Индустриальная улица, 12",полный день,"Полная занятость, полный день",Работа в команде;Умение эффективно планировать свое время;Стремление к саморазвитию;Нацелен на результат;Работа в коллективе;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80923792
Руководитель отдела продаж,106,от 500 000 KZT на руки,не требуется,ТОО Арида-Софт,Вакансия опубликована 5 мая 2023 в Петропавловске,"Петропавловск, улица Мира, 215",полный день,"Полная занятость, полный день",Активные продажи;Ведение переговоров;Деловое общение;Выявление потребностей;Грамотная речь;Навыки продаж;Заключение договоров;,https://almaty.hh.kz/vacancy/80131278
Менеджер по железнодорожной отгрузке,67,от 200 000 KZT на руки,не требуется,ТОО Петропавл Экспресс Логистика,Вакансия опубликована 15 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день","Умение работать в команде;Мобильность;Планирование карьеры;Работа с документами;Грамотная речь;Работа в условиях многозадачности;Коммуникабельность, ответственность;Ответственность и пунктуальность;",https://almaty.hh.kz/vacancy/80437160
Менеджер по продажам,68,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ИП Бондарцев П.М.,Вакансия опубликована 12 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Навыки телефонных продаж;Поиск и привлечение клиентов;Подготовка коммерческих предложений;Деловое общение;Поиск информации в интернет;Навыки переговоров;Навыки работы с возражениями;,https://almaty.hh.kz/vacancy/80357903
Менеджер по Маркетплейсам,40,от 120 000 до 150 000 KZT на руки,не требуется,ИП Аушахметов Т.Ш,Вакансия опубликована 2 мая 2023 в Петропавловске,Петропавловск,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79971106
Кредитный эксперт,57,до 200 000 KZT до вычета налогов,не требуется,ТОО Ломбард Зангар,Вакансия опубликована 18 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день","Грамотность;Желание обучаться;Дружелюбность;Опыт работы с людьми;Работа в команде;Умение слушать, находить подход к клиентам;Умение работать в условиях многозадачности;Опытный пользователь ПК, знание MS Office;способность быстро обучаться и легко воспринимать крупные объемы информации;оформление документации;Консультирование клиентов;Материальная ответственность;Консультирование;Работа с оргтехникой;Умение слушать;",https://almaty.hh.kz/vacancy/80624199
Эксперт по проведению комплексной вневедомственной экспертизы в РК 87714236418,48,з/п не указана,не требуется,ТОО АртМонолитПроект,Вакансия опубликована 26 мая 2023 в Петропавловске,Алматы,удаленная работа,"Полная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/78561938
Главный бухгалтер,18,от 180 000 до 280 000 KZT до вычета налогов,не требуется,ТОО Проспект-Норд,Вакансия опубликована 12 мая 2023 в Петропавловске,"Петропавловск, Интернациональная улица, 100",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80340051
Преподаватель английского языка,132,з/п не указана,не требуется,ТОО Opportunity Language School,Вакансия опубликована 7 мая 2023 в Петропавловске,"Петропавловск, улица Нурсултана Назарбаева, 163",полный день,"Полная занятость, полный день",Клиентоориентированность;преподавание английского языка;Креативность;,https://almaty.hh.kz/vacancy/80182194
Монтажник (ученик монтажника) GPS оборудования,111,от 140 000 до 270 000 KZT до вычета налогов,не требуется,ТОО СК-Транк,Вакансия опубликована 4 мая 2023 в Петропавловске,"Петропавловск, улица Конституции Казахстана, 34",полный день,"Полная занятость, полный день","Начальные знания электрооборудования,;Обучаемость;",https://almaty.hh.kz/vacancy/80099036
Администратор медицинского центра,8,от 150 000 до 170 000 KZT до вычета налогов,не требуется,ТОО NewLife Diagnostic,Вакансия опубликована 2 мая 2023 в Петропавловске,"Петропавловск, улица Карима Сутюшева, 60",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Работа с оргтехникой;Грамотность;Коммуникабельность;,https://almaty.hh.kz/vacancy/79974843
Юрист начального уровня,146,от 120 000 до 120 000 KZT на руки,не требуется,ТОО СК КАЧЕСТВО,Вакансия опубликована 2 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79991260
