Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Медицинская сестра/медицинский брат,64,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Nephrolife,Вакансия опубликована 3 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Навыки межличностного общения;Медицинская документация;,https://almaty.hh.kz/vacancy/80034281
Мануальный терапевт/реабилитолог/остеопат,24,от 600 000 до 700 000 KZT на руки,не требуется,ТОО Skolioz.kz,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, улица Адмирал Льва Владимирского, 100Е",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79967405
Ревизор,16,от 180 000 до 200 000 KZT на руки,не требуется,ТОО Торговый Дом Ярмарка,Вакансия опубликована 22 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80042841
Администратор,8,от 119 999 до 120 000 KZT на руки,не требуется,ИП Капустина П.И,Вакансия опубликована 19 мая 2023 в Атырау,"Атырау, улица Георгия Канцева",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80713823
Помощник бренд-менеджера,68,от 250 000 до 300 000 KZT до вычета налогов,не требуется,ИП Кучменко И.А.,Вакансия опубликована 8 мая 2023 в Атырау,"Атырау, улица Курмангазы, 10Д",полный день,"Полная занятость, полный день","Проведение презентаций;План продвижения;Коммуникабельность, стрессоустойчивость;Ответственность и пунктуальность;",https://almaty.hh.kz/vacancy/80186264
Инструктор,138,от 100 000 до 130 000 KZT на руки,не требуется,ТОО Барс Компани,Вакансия опубликована 16 мая 2023 в Атырау,"Атырау, улица Махамбета Утемисова, 120А",сменный график,"Полная занятость, сменный график",Работа в команде;Грамотная речь;Грамотность;Способность обучать других;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80470561
Бухгалтер-кассир,18,от 150 000 KZT до вычета налогов,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 6 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день","Должностные инструкции;Знание 1С;Работать в команде;Отличное знание ПК;Exсel;ПК;Работа с компьютером;Умение работать в условиях многозадачности;Ответственность и пунктуальность;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80174906
Преподаватель по робототехнике,132,до 280 000 KZT на руки,не требуется,ТОО Salem Robo,Вакансия опубликована 16 мая 2023 в Атырау,Алматы,гибкий график,"Полная занятость, гибкий график",Преподавание;Обучение и развитие;Работа с детьми;Работа в коллективе;Готовность к обучению;Умение работать с детьми;Терпеливость;Творческий подход к работе;Ответственность;,https://almaty.hh.kz/vacancy/80528345
Специалист по привлечению абитуриентов,72,от 500 000 KZT на руки,не требуется,ТОО Академия переподготовки и повышения квалификации специалистов,Вакансия опубликована 17 мая 2023 в Атырау,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80587877
Техник по применению химреагентов,40,от 200 000 до 250 000 KZT на руки,не требуется,"ТОО РауанНалко, ТОО",Вакансия опубликована 12 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день","механик, монтаж труб и линий;учет расхода реагентов;учет запасов реагентов;ремонт дозирующего оборудования;",https://almaty.hh.kz/vacancy/80363337
Тренер/педагог (хореограф) в студию балета растяжки,138,от 120 000 до 300 000 KZT на руки,не требуется,ТОО Криштоп и К,Вакансия опубликована 7 мая 2023 в Атырау,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79051268
Торговый представитель,129,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ИП КБК,Вакансия опубликована 22 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80792140
Переводчик,93,з/п не указана,не требуется,ТОО РНИЦ ОАВ Республиканский научно-исследовательский центр охраны атмосферного воздуха,Вакансия опубликована 5 мая 2023 в Атырау,"Атырау, улица Салтаната Балгимбаева, 59",полный день,"Полная занятость, полный день",Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80152934
Администратор,8,от 200 000 до 300 000 KZT на руки,не требуется,ТОО Wooden House,Вакансия опубликована 16 мая 2023 в Атырау,село Актогай,полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Управление персоналом;Умение работать в команде;Навыки межличностного общения;Организаторские навыки;Грамотность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80498297
