Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 26 мая 2023 в Семее,"Семей, улица Кабанбай батыра, 33",полный день,Полная занятость,Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/81103824,,
Оператор (приемщик товара),84,з/п не указана,ТОО АҚШЫҢ МАРКЕТ,Вакансия опубликована 22 мая 2023 в Семее,"Семей, микрорайон Карагайлы",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80785656,,IT
Сборщик монтажник (обучение),78,от 145 000 до 300 000 KZT до вычета налогов,ИП Рекламно-производственная компания Семей Коркем,Вакансия опубликована 8 мая 2023 в Семее,"Семей, улица Победы, 5",полный день,Полная занятость,Желание учиться новому;Желание работать и развиваться;,https://almaty.hh.kz/vacancy/78873673,,
Оператор ресепшен,40,от 109 000 до 109 000 KZT до вычета налогов,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 19 мая 2023 в Семее,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80724406,,
Помощник делопроизводителя,40,от 103 500 до 103 500 KZT до вычета налогов,ТОО ЭЙКОС,Вакансия опубликована 23 мая 2023 в Семее,"Семей, улица Кутжанова, 23",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа с документами;Ответственное хранение;Грамотность;,https://almaty.hh.kz/vacancy/79876932,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996322,,Медицина
Менеджер (по зарплатным проектам),40,з/п не указана,АО Bereke Bank,Вакансия опубликована 29 мая 2023 в Семее,Алматы,полный день,Полная занятость,Деловая переписка;,https://almaty.hh.kz/vacancy/81210180,,
Консультант в Центральное ЦБО,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 22 мая 2023 в Семее,Алматы,полный день,Полная занятость,Ориентация на клиента;Планирование карьеры;Оценка потребностей клиентов;Творческое мышление;Способность быстро обучаться;Умение работать с клиентами;Способность работать с документами;Умение быстро усваивать новую информацию;,https://almaty.hh.kz/vacancy/78808846,,
Преподаватель программирования,132,от 150 000 KZT до вычета налогов,ТОО Delta LLP,Вакансия опубликована 19 мая 2023 в Семее,"Семей, улица Гагарина, 32",гибкий график,Частичная занятость,Python;C++;Linux;HTML5;Java;HTML;CSS3;PHP;JavaScript;Организация учебного процесса;Групповое обучение;Преподаватель;Терпеливость;,https://almaty.hh.kz/vacancy/80688701,,
Специалист Торгового офиса,40,от 100 000 KZT на руки,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;Навыки продаж;Работа с жалобами клиентов;Оценка потребностей клиентов;,https://almaty.hh.kz/vacancy/80992379,,
Инженер-чертежник/драфтер/стажер (строительные чертежи),48,от 350 до 400 EUR до вычета налогов,DocuSketch,Вакансия опубликована 1 мая 2023 в Семее,Алматы,полный день,Стажировка,AutoCAD;ArchiCAD;Компас 3D;Компас-3D;Solid Works;SolidWorks;,https://almaty.hh.kz/vacancy/78869486,,Сервисное обслуживание/производство
