Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Помощник делопроизводителя,40,от 103 500 до 103 500 KZT до вычета налогов,не требуется,ТОО ЭЙКОС,Вакансия опубликована 23 мая 2023 в Семее,"Семей, улица Кутжанова, 23",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа с документами;Ответственное хранение;Грамотность;,https://almaty.hh.kz/vacancy/79876932
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 26 мая 2023 в Семее,"Семей, улица Кабанбай батыра, 33",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/81103824
Специалист по съёмке трафика такси,40,з/п не указана,не требуется,Яндекс Крауд,Вакансия опубликована 15 мая 2023 в Семее,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80462094
Консультант в Центральное ЦБО,40,з/п не указана,не требуется,АО Jusan Bank,Вакансия опубликована 22 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Ориентация на клиента;Планирование карьеры;Оценка потребностей клиентов;Творческое мышление;Способность быстро обучаться;Умение работать с клиентами;Способность работать с документами;Умение быстро усваивать новую информацию;,https://almaty.hh.kz/vacancy/78808846
Инженер-чертежник/драфтер/стажер (строительные чертежи),48,от 350 до 400 EUR до вычета налогов,не требуется,DocuSketch,Вакансия опубликована 1 мая 2023 в Семее,Алматы,полный день,"Стажировка, полный день",AutoCAD;ArchiCAD;Компас 3D;Компас-3D;Solid Works;SolidWorks;,https://almaty.hh.kz/vacancy/78869486
Персональный менеджер,40,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 11 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Поиск и привлечение клиентов;Активные продажи;Работа в команде;Заключение договоров;,https://almaty.hh.kz/vacancy/80278362
Персональный менеджер (Семей),57,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 19 мая 2023 в Семее,"Семей, проспект Шакарима, 67",полный день,"Полная занятость, полный день",Клиентоориентированность;Аналитическое мышление;Активные продажи;Кредитные договоры;,https://almaty.hh.kz/vacancy/80685940
Клиент- менеджер,137,от 130 000 до 150 000 KZT до вычета налогов,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 12 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Деловое общение;Развитие продаж;Деловая переписка;Деловая коммуникация;Поиск и привлечение клиентов;,https://almaty.hh.kz/vacancy/80351681
Промоутер-консультант/Хостес табачного бренда,140,от 112 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 27 мая 2023 в Семее,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/80062454
Кредитный менеджер (г. Семей),57,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО МФО Экспресс займ,Вакансия опубликована 17 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80547873
Преподаватель программирования,132,от 150 000 KZT до вычета налогов,не требуется,ТОО Delta LLP,Вакансия опубликована 19 мая 2023 в Семее,"Семей, улица Гагарина, 32",гибкий график,"Частичная занятость, гибкий график",Python;C++;Linux;HTML5;Java;HTML;CSS3;PHP;JavaScript;Организация учебного процесса;Групповое обучение;Преподаватель;Терпеливость;,https://almaty.hh.kz/vacancy/80688701
Специалист Торгового офиса,40,от 100 000 KZT на руки,не требуется,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Навыки продаж;Работа с жалобами клиентов;Оценка потребностей клиентов;,https://almaty.hh.kz/vacancy/80992379
Специалист-оценщик в ломбард,40,от 160 000 до 160 000 KZT до вычета налогов,не требуется,ТОО М-Ломбард,Вакансия опубликована 26 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Клиентоориентированность;Ориентация на результат;Пользователь ПК;,https://almaty.hh.kz/vacancy/80557816
