Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Менеджер Службы Заботы о Клиентах,40,от 140 000 KZT на руки,не требуется,Kaspi.kz,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79961075
Сотрудник по обновлению карты,40,от 300 000 до 490 000 KZT на руки,не требуется,ИП Строганова Ольга Владимировна,Вакансия опубликована 25 апреля 2023 в Алматы,Алматы,гибкий график,"Полная занятость, гибкий график",Внимательность;Ответственность;Коммуникабельность;Работа с телефоном;Телеграм;,https://almaty.hh.kz/vacancy/79773111
Вечерний Администратор офиса,8,от 100 000 до 100 000 KZT на руки,не требуется,ТОО Smartschool,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, микрорайон Самал-2, улица Жолдасбекова, 9А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80230904
Тайный проверящий,40,от 100 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80400723
Смм,3,от 100 000 до 150 000 KZT на руки,не требуется,ИП Ногаева А.Б,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, Алатау, Москва, Сайран, улица Брусиловского, 167блок1",полный день,"Полная занятость, полный день",Наполнение контентом;Смм;Маркетинг;Продажи;Прогрев;Сторисмэйкинг;Фото видео обработка;Мобилография;,https://almaty.hh.kz/vacancy/80515943
Медицинская сестра/медицинский брат,64,от 250 000 до 280 000 KZT до вычета налогов,не требуется,ИП Енсебаев М.Ж.,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Медицинская документация;Медицинское оборудование;,https://almaty.hh.kz/vacancy/79433630
English teacher,40,от 350 000 до 500 000 KZT на руки,не требуется,ИП Нургалиева Е.В.,Вакансия опубликована 13 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Английский язык;MS Access;Internet;Access;,https://almaty.hh.kz/vacancy/80380448
Помощник педагога/вожатый в дневной лагерь,40,з/п не указана,не требуется,ТОО Sivital-Казахстан,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, проспект Назарбаева, 264",полный день,"Полная занятость, полный день",Обучение и развитие;Организация мероприятий;Творчество;Работа в команде;Многозадачность;Творческое мышление;Организаторские навыки;Умение работать в коллективе;Работа с детьми;организация досуга;Творческий подход к работе;Готовность к обучению;Любовь к детям;,https://almaty.hh.kz/vacancy/80435732
Сестра-хозяйка/брат-хозяин (специалист по хозяйственному обеспечению),40,до 300 000 KZT на руки,не требуется,ТОО DOSFARM,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80331808
Хостес в ресторан,74,от 270 000 KZT на руки,не требуется,ТОО ADRIANO,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Муканова, 190",сменный график,"Полная занятость, сменный график",Работа в команде;Грамотность;Организация встреч;Прием посетителей;Умение работать в режиме многозадачности;,https://almaty.hh.kz/vacancy/80423361
Хостес (проверка билетов),8,до 160 000 KZT на руки,не требуется,ТОО Парк Кок Тобе,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, проспект Достык, 104Б",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80208685
Администратор салона красоты,8,до 200 000 KZT на руки,не требуется,ИП Мурзабаева,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Бауыржан Момышулы",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80465261
