Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Технолог пищевого производства,49,з/п не указана,не требуется,ТОО Азия Кус,Вакансия опубликована 4 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80101692
Электромеханик связи,111,от 170 000 KZT до вычета налогов,не требуется,АО Транстелеком,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80134085
Менеджер абонентского отдела,40,от 100 000 KZT на руки,не требуется,ТОО GAS IMPEX KZ,Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Павлодар, Восточный промышленный район, 1637",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80719878
Слесарь по ремонту оборудования котельных и пылеприготовительных цехов,115,от 250 000 KZT на руки,не требуется,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",полный день,"Полная занятость, полный день",Ремонтные работы;Работа в команде;,https://almaty.hh.kz/vacancy/80487186
Электромонтажник,143,от 170 000 до 250 000 KZT на руки,не требуется,ТОО ВК Синтез,Вакансия опубликована 27 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Шакарым, 5/2",полный день,"Полная занятость, полный день",Монтаж оборудования;Работа в команде;Электромонтажные работы;Монтаж инженерных систем;,https://almaty.hh.kz/vacancy/79599627
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255599
Ведущий кредитный администратор в отдел кредитного администрирования,40,з/п не указана,не требуется,АО Нурбанк,Вакансия опубликована 17 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Банковское дело;Умение работать в коллективе;Ответственный подход к работе;,https://almaty.hh.kz/vacancy/80575551
Электромонтер сетей и связи,112,от 180 000 KZT на руки,не требуется,ТОО Adicom2000 (Адиком2000),Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80583047
Мерчендайзер-грузчик (КШТ),77,от 160 000 до 175 000 KZT до вычета налогов,не требуется,ТОО Бэст Прайс Казахстан,Вакансия опубликована 3 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Приемка груза;,https://almaty.hh.kz/vacancy/80053609
Слесарь по ремонту и обслуживанию парогазотурбинного оборудования,115,от 250 000 KZT на руки,не требуется,ТОО Усть-Каменогорская ТЭЦ,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Промышленная улица, 2",полный день,"Полная занятость, полный день",Ремонтные работы;Работа в команде;Умение принимать решения;,https://almaty.hh.kz/vacancy/80487286
Электромеханик Группы строительства сети,111,от 170 000 KZT до вычета налогов,не требуется,АО Транстелеком,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Ответственность;,https://almaty.hh.kz/vacancy/80133741
Администратор шоу-рума,72,от 180 000 до 180 000 KZT на руки,не требуется,ТОО ALAN MOTORS,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80144300
