Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Врач функциональной диагностики,24,от 250 000 KZT до вычета налогов,ТОО GIO TRADE,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Сатыбалдина, 2",полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/81236374,,Медицина
"Менеджер СМК, GPP",44,з/п не указана,ТОО Долголет,Вакансия опубликована 24 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина, 107/3",полный день,Полная занятость,Написание процедур;Многозадачность;Стандартизация;Организация рабочего процесса;Высшее образование;Желание учиться и развиваться;Ответственность и пунктуальность;Ответственный подход к работе;Стремление к профессиональному развитию;Добросовестное выполнение поставленных задач;Коммуникабельность;Стремление к саморазвитию;,https://almaty.hh.kz/vacancy/79181084,,Сервисное обслуживание/производство
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,Частичная занятость,Подбор персонала;,https://almaty.hh.kz/vacancy/81024349,,Менеджмент
Автоэлектрик-диагност,5,от 100 000 KZT на руки,ТОО ТАУРИ Сервис,Вакансия опубликована 30 апреля 2023 в Караганде,"Караганда, улица Гоголя, 2/1",полный день,Полная занятость,"Пользователь ПК;Работа в команде;Работа в условиях многозадачности;Внимательность, ответственность;",https://almaty.hh.kz/vacancy/79948149,,Сервисное обслуживание/производство
Помощник заведующего складом,40,от 150 000 до 200 000 KZT на руки,ТОО Central Asia Parts,Вакансия опубликована 19 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80688202,,
Бухгалтер,18,от 100 000 до 150 000 KZT на руки,ИП AXIS,Вакансия опубликована 10 мая 2023 в Караганде,"Караганда, улица Рыбалко, 1А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80078037,,Финансы
Торговый представитель,129,от 280 000 до 300 000 KZT на руки,ТОО ПАКТ,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, улица Ермекова, 59",полный день,Полная занятость,Планирование продаж;Навыки продаж;Проведение презентаций;,https://almaty.hh.kz/vacancy/78968631,,
Специалист по работе с клиентами/Оператор по обработке информации,40,от 160 000 KZT на руки,ТОО Пони Экспресс,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, улица Мустафина, 9/2",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/81099231,,
Начальник лаборатории контроля качества,168,з/п не указана,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, Бытовая улица, 20А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78869347,,Наука
ABA-терапист (ABA-инструктор),101,от 150 000 до 240 000 KZT на руки,ИП КАЛИЕВ Б.К.,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, улица Ержанова, 18",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/78991891,,Медицина
Кухонный рабочий,40,до 160 000 KZT на руки,ТОО ВЕЛЛЕТ,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,Вахтовый метод,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Общественное питание;Способность обучать других;,https://almaty.hh.kz/vacancy/80784548,,
Оператор производственной линии,128,от 220 000 до 260 000 KZT на руки,Металл Профиль - Казахстан,Вакансия опубликована 26 мая 2023 в Караганде,"Карагандинская область, Саранское шоссе, 8/6",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79988900,,Сервисное обслуживание/производство
Помощник Машиниста экструдера по производству полиэтиленовой пленки,85,от 220 000 до 220 000 KZT на руки,ТОО Жанатехпром,Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, Ишимская улица, 3",сменный график,Полная занятость,Работа в команде;Умение работать в условиях многозадачности;нормальная физическая подготовка;работа с техникой электромеханической;,https://almaty.hh.kz/vacancy/80627642,,Сервисное обслуживание/производство
