Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ОРДА Султан""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3041094,Первое рабочее место,Менеджмент
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~3034124,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3034125,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3034126,Молодежная практика,Финансы
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3034127,Молодежная практика,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Определение  четких  целей  уроков;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3034128,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~3034129,Молодежная практика,
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Диагностика нарушений психической деятельности субъекта;,https://enbek.kz/ru/vacancy/detskii-psikholog~3034130,Молодежная практика,
Преподаватель языковой школы,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Flat Iron""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/prepodavatel-yazykovoi-shkoly~3040445,Молодежная практика,
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""DAMU Qurylys Group""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3038223,Молодежная практика,Финансы
Газосварщик,Строительство и архитектура,от 103 500 тенге,"ИП ""Абдурахман Монтаж Строй""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Кислородная резка металлов;,https://enbek.kz/ru/vacancy/gazosvarshchik~3031490,Молодежная практика,Строительство и архитектура
Юрист,Юриспруденция,от 103 500 тенге,"ИП ""ABK-boxing""",Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~3037540,Молодежная практика,Юриспруденция
Помощник юриста,Юриспруденция,от 103 500 тенге,ЧСИ Нурмагамбетова Аида Аликовна,Вакансия опубликована 11.04.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3034088,Молодежная практика,Юриспруденция
Бухгалтер-кассир,Финансы и бухучет,от 103 500 тенге,"ИП ""Кикбаев""",Вакансия опубликована 10.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter-kassir~3030815,Первое рабочее место,Финансы
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Отдел предпринимательства и сельского хозяйства города Атырау""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Учет и регистрация документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~3026111,Первое рабочее место,Менеджмент
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"ИП ""SMART CENTER""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3017349,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,"ИП ""SMART CENTER""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3017350,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""Мега-Атырау""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~3015657,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""РитмОйл""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3016051,Молодежная практика,Финансы
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью """"МФО""My Money""""",Вакансия опубликована 05.04.2023,Адреса нет,полный день,Проектная работа,Работа с претензиями;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3021501,Молодежная практика,Юриспруденция
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью """"МФО""My Money""""",Вакансия опубликована 05.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3021502,Молодежная практика,Финансы
