Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Senior UX/UI дизайнер,34,з/п не указана,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80714172,,Массмедиа
Оператор погрузчика (стажер) Train to Plant,40,з/п не указана,ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» ),Вакансия опубликована 19 мая 2023 в Алматы,Алматы,сменный график,Стажировка,Водительское удостоверение категории B;Умение работать в команде;Водительские права категории В;,https://almaty.hh.kz/vacancy/79525179,,
Мерчендайзер,77,з/п не указана,ТОО Аромика Трейд (ТД West),Вакансия опубликована 4 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Организация мероприятий;Учет товаров;Умение работать в команде;Учет остатков;,https://almaty.hh.kz/vacancy/80089014,,
Менеджер технической поддержки,121,от 180 000 до 200 000 KZT на руки,ТОО PARTNERS - SM,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,сменный график,Полная занятость,Работа в команде;Опытный пользователь ПК;Казахский язык;Русский язык;Работа в условиях многозадачности;Техническая поддержка;,https://almaty.hh.kz/vacancy/79963835,,
Инспектор по браку,44,от 180 000 до 180 000 KZT на руки,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Пользователь ПК;Работа с поставщиками;Учет ТМЦ;1С: Торговля и склад;,https://almaty.hh.kz/vacancy/80243155,,Сервисное обслуживание/производство
Монтажник систем вентиляции и кондиционирования,78,от 250 000 до 350 000 KZT до вычета налогов,ФИЛИАЛ ТОО ТЕХНО КОМФОРТ В Г.АЛМАТЫ,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Алатауский район, микрорайон Айгерим-1, улица Жанаарка, 7А/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81236713,,
"Монтажник слаботочных систем (СКС, Видеонаблюдение, СКУД)",78,от 200 000 KZT на руки,ТОО MAXTEL NETWORKS,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, Байконур, улица Досмухамедова, 89",полный день,Полная занятость,Системы видеонаблюдения;Системы охранно-тревожной сигнализации;Технические системы и средства безопасности;Монтаж оборудования;Электрические системы и слаботочные системы;Пожарная сигнализация;Системы безопасности;Электротехнические работы;Монтаж инженерных систем;Пуско-наладочные работы;Производство строительно-монтажных работ;,https://almaty.hh.kz/vacancy/80789985,,
QA Intern - Automation testing,124,з/п не указана,a1qa,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,гибкий график,Полная занятость,Java;JavaScript;C#;Intellij IDEA;OOP;Русский — B1 — Средний;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/77063457,,IT
Специалист Helpdesk,121,от 150 000 до 150 000 KZT на руки,ТОО М-Ломбард,Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, улица Попова, 33",сменный график,Полная занятость,Работа в команде;Настройка ПК;Умение работать в команде;Windows 7;Многозадачность;,https://almaty.hh.kz/vacancy/80328571,,
Заправщик на АЗС (Алматы и Алматинская область),40,от 130 000 до 200 000 KZT на руки,ТОО Royal Petrol,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80546816,,
Associate to Risk Assurance (Almaty/Nur-Sultan),116,з/п не указана,PricewaterhouseCoopers,Вакансия опубликована 5 мая 2023 в Алматы,Алматы,полный день,Полная занятость,MS PowerPoint;Team management;Teamplayer;Time management;Accounting Information Systems;,https://almaty.hh.kz/vacancy/77693926,,IT
Рекрутер \ Менеджер по работе с персоналом,68,з/п не указана,ТОО Pro Triniti,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, Жибек Жолы, улица Зенкова, 22",полный день,Полная занятость,Подбор персонала;Массовый подбор персонала;Обучение персонала;Управление персоналом;Работа в команде;,https://almaty.hh.kz/vacancy/80650358,,Менеджмент
Главный специалист по работе с госорганами,50,з/п не указана,ТОО RG Brands Kazakhstan,Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80016070,,
Инструктор на курорт Oi-Qaragai (веревочный парк),40,з/п не указана,ТОО Alina Group,Вакансия опубликована 15 мая 2023 в Алматы,"Талгар, Горный переулок",полный день,Полная занятость,Работа с детьми;Физическая безопасность;Позитивный настрой;Дружелюбность;Терпеливость;Грамотная речь;Опрятный внешний вид;,https://almaty.hh.kz/vacancy/80401693,,
Специалист по маркетинговым исследованиям,68,з/п не указана,ТОО Маревен Фуд Тянь-Шань,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, проспект Достык, 210",удаленная работа,Полная занятость,Ориентация на результат;Системное мышление;Анализ рынка;Market Research;MS Project Expert;VBA;MS Project;Прогнозирование;Microsoft Access;Подготовка презентаций;Работа с большим объемом информации;B2C исследования;Уверенный пользователь MS Office;Кластерный анализ;Проведение маркетинговых исследований;Анализ макроэкономической среды;Исследование потребительских предпочтений;Анализ ценообразования;Анализ потребительских предпочтений;,https://almaty.hh.kz/vacancy/80599509,,Менеджмент
Помощник HR (ресечер),118,з/п не указана,ТОО Smart Solutions Personnel,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Подбор персонала;Обучение и развитие;Ориентация на результат;Английский язык;Деловая переписка;Умение расставлять приоритеты;Проведение телефонных интервью;Грамотная речь;Грамотность;Уверенный пользователь ПК;Многозадачность;Работа в режиме многозадачности;Грамотная устная и письменная речь;Позитивное мышление;,https://almaty.hh.kz/vacancy/80624087,,Менеджмент
Стажер в департамент бухгалтерии,18,з/п не указана,ТОО ШНАЙДЕР ГРУП,Вакансия опубликована 3 мая 2023 в Алматы,"Алматы, улица Толе би, 101",полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80029214,,Финансы
