Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Финансист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Финансово-хозяйственная деятельность;,https://enbek.kz/ru/vacancy/finansist~3048626,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~3048627,Молодежная практика,Юриспруденция
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Департамент полиции Павлодарской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~3048628,Молодежная практика,Юриспруденция
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,ИП Петросян Э.Б.,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~3044818,Молодежная практика,
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,ИП Петросян Э.Б.,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3044810,Молодежная практика,
Инспектор по кадрам,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Домостроительный комбинат ""Ертіс""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Изучение потребности рынка труда в кадрах;,https://enbek.kz/ru/vacancy/inspektor-po-kadram~3029874,Первое рабочее место,Менеджмент
Менеджер по персоналу,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ERTIS Construction Ltd""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Решение вопросов кадрового обеспечения;,https://enbek.kz/ru/vacancy/menedzher-po-personalu~3029882,Первое рабочее место,Менеджмент
Финансист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Прокуратура Павлодарской области""",Вакансия опубликована 10.04.2023,Адреса нет,полный день,Проектная работа,Анализ результатов финансовых операций;,https://enbek.kz/ru/vacancy/finansist~3031252,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение «Средняя общеобразовательная школа № 21 города Павлодара» отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3016730,Молодежная практика,Финансы
Аналитик-маркетолог,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ВИА ИНВЕСТ""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/analitik-marketolog~3023256,Молодежная практика,Журналистика
Финансист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ВИА ИНВЕСТ""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Экономический анализ хозяйственно-финансовой деятельности;,https://enbek.kz/ru/vacancy/finansist~3023255,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение ""Областная универсальная научная библиотека имени С.Торайгырова"" управления культуры, развития языков и архивного дела Павлодарской области, акимата Павлодарской области",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3014508,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент по управлению земельными ресурсами Павлодарской области Комитета по управлению земельными ресурсами Министерства сельского хозяйства Республики Казахстан""",Вакансия опубликована 05.04.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~3009575,Молодежная практика,Юриспруденция
Инженер по гражданскому строительству,Строительство и архитектура,от 103 500 тенге,"Государственное учреждение ""Управление строительства Павлодарской области""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Проведение строительных и ремонтных работ;,https://enbek.kz/ru/vacancy/inzhener-po-grazhdanskomu-stroitelstvu~3006369,Молодежная практика,Строительство и архитектура
Ветеринарный фельдшер,Медицина и фармацевтика,от 103 500 тенге,ИП ШАСТУН Н.А.,Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Проведение ветеринарно-лечебных мероприятий;,https://enbek.kz/ru/vacancy/veterinarnyi-feldsher~3016124,Молодежная практика,Медицина
Геолог,"Нефть, газ, добыча ресурсов",от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Павлодарской области Комитета экологического регулирования и контроля Министерства экологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,"Проведение геодезических, геологических и гидрологических изысканий для строительства гидротехнических сооружений;",https://enbek.kz/ru/vacancy/geolog~3004825,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Павлодарской области Комитета экологического регулирования и контроля Министерства экологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~3004826,Молодежная практика,Юриспруденция
Экономист,Производство,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Павлодарской области Комитета экологического регулирования и контроля Министерства экологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Внедрение плановой и учетной документации;,https://enbek.kz/ru/vacancy/ekonomist~3004827,Молодежная практика,Сервисное обслуживание/производство
