Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Ревизор,18,з/п не указана,ТОО Компания ЭВРИКА,Вакансия опубликована 5 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Аудит;Бухгалтерский учет;Финансовый менеджмент;Финансовый контроль;Финансовая отчетность;,https://almaty.hh.kz/vacancy/80149050,,Финансы
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Шымкенте,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890395,,
Представитель по категории Парафармацевтика в г. Шымкент,65,от 140 000 до 310 000 KZT на руки,ТОО Аманат,Вакансия опубликована 23 мая 2023 в Шымкенте,"Шымкент, улица Алдиярова, 76",полный день,Полная занятость,Активные продажи;Проведение презентаций;Ведение переговоров;Планирование продаж;Грамотная речь;Ориентация на результат;умение вести диалог;Работа с возражениями;Управление отношениями с клиентами;Ведение отчетности;Выявление потребностей;,https://almaty.hh.kz/vacancy/80864000,,Медицина
Медицинский представитель,65,з/п не указана,ТОО INVITRO (ТОО ИНВИТРО-Казахстан),Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Коммуникативные навыки;B2C продажи;Активные продажи;Навыки продаж;Навыки презентации;Навыки переговоров;Деловое общение;Проведение презентаций;Работа в команде;Поиск и привлечение клиентов;Развитие продаж;Грамотная речь;,https://almaty.hh.kz/vacancy/81236847,,Медицина
Оператор (Шымкент),40,з/п не указана,АО Банк ЦентрКредит,Вакансия опубликована 27 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Деловое общение;Деловая переписка;Грамотная речь;Пользователь ПК;,https://almaty.hh.kz/vacancy/79862175,,
"Стажер технического отдела (ЮКО, с. Коксайек)",40,з/п не указана,"ФудМастер, ТМ",Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/81205695,,
Консультант отдела продаж,129,от 250 000 до 350 000 KZT до вычета налогов,ТОО Ivan heating,Вакансия опубликована 12 мая 2023 в Шымкенте,"Шымкент, улица Маншук Маметовой, 23",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80333043,,
Механик,111,от 200 000 KZT на руки,ТОО Gold Aluminum (Голд Алюминум),Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80467773,,Сервисное обслуживание/производство
Медицинский представитель,65,от 180 000 KZT на руки,ТОО Vitaman (Витамэн),Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81201301,,Медицина
Менеджер по подбору персонала / HR менеджер,118,от 250 000 KZT на руки,ООО МК Эксперт,Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Работа в команде;Подбор персонала;Ведение отчетности;Телефонное интервью;Массовый подбор персонала;,https://almaty.hh.kz/vacancy/80485139,,Менеджмент
Торговый представитель,129,от 200 000 до 350 000 KZT на руки,ТОО КазАрстрой,Вакансия опубликована 27 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80053595,,
Кухонный работник (Блинщица/блинщик),94,з/п не указана,ТОО Сеть вкусного питания «Блинчик» (Избушка -Кормушка),Вакансия опубликована 18 мая 2023 в Шымкенте,"Шымкент, улица проспект Жибек-Жолы",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Грамотность;Оператор ПК;,https://almaty.hh.kz/vacancy/80649359,,
Медицинский представитель (аптеки),65,з/п не указана,TEVA,Вакансия опубликована 24 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/72153787,,Медицина
Кондитер Вафель,94,з/п не указана,ТОО Сеть вкусного питания «Блинчик» (Избушка -Кормушка),Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,проведение опросов общественного мнения;Работа в команде;Грамотная речь;Желание обучаться;навыки межличностного делового общения;,https://almaty.hh.kz/vacancy/80505430,,
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 5 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Деловое общение;Умение работать в команде;Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80150660,,Медицина
"Кладовщик в мультибрендовый магазин ""INTERTOP-2"" (Республика 4, ""ТРЦ CITY Hotel"")",40,до 150 000 KZT на руки,"ТОО Интертоп Центральная Азия ,ТМ (INTERTOP)",Вакансия опубликована 19 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Приемка груза;Инвентаризация;Пользователь ПК;1С: Склад;,https://almaty.hh.kz/vacancy/80715818,,
Главный инженер проекта,30,от 300 000 до 500 000 KZT до вычета налогов,ТОО Amanat Expert KZ,Вакансия опубликована 15 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80409164,,
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Шымкенте,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239878,,
Прядильщица (Прядильщик),40,от 85 000 до 120 000 KZT на руки,ТОО AZALA Textile,Вакансия опубликована 11 мая 2023 в Шымкенте,"Шымкент, улица Оразбаева, 62",сменный график,Полная занятость,Работа в команде;Выносливость;,https://almaty.hh.kz/vacancy/80271993,,
Декларант,40,з/п не указана,ТОО Gold Aluminum (Голд Алюминум),Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80467829,,
Горничная в Отель,140,от 100 000 до 110 000 KZT на руки,ТОО KERRAA,Вакансия опубликована 15 мая 2023 в Шымкенте,"Шымкент, проспект Тауке хана, 105",полный день,Полная занятость,"Работа с людьми;Опрятность;Уборка;Умение работать в команде;Коммуникабельность, стрессоустойчивость;",https://almaty.hh.kz/vacancy/80439589,,
Газоэлектросварщик,109,з/п не указана,ТОО Gold Aluminum (Голд Алюминум),Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80467798,,Сервисное обслуживание/производство
Сварщик на полуавтомат,109,до 200 000 KZT до вычета налогов,ТОО Mega SMART,Вакансия опубликована 19 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Сварочные работы;,https://almaty.hh.kz/vacancy/80705573,,Сервисное обслуживание/производство
Менеджер письменной техподдержки интернет-магазина,121,з/п не указана,ТОО СЕЙЛЗ ЭНД СЕРВИС,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, проспект Абая, 4В",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79264631,,
Инспектор по взысканию,40,от 250 000 до 300 000 KZT на руки,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 26 мая 2023 в Шымкенте,"Шымкент, улица Дулати, 201А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/71006858,,
Преподаватель английского языка,132,от 400 до 800 USD на руки,АнтиШкола,Вакансия опубликована 27 мая 2023 в Шымкенте,Алматы,удаленная работа,Частичная занятость,Английский язык;Грамотная речь;Преподаватель;Грамотность;Знание иностранных языков;Групповое обучение;Индивидуальное обучение;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80953237,,
Монтажник,78,от 160 000 KZT на руки,ТОО Compas Technology.kz,Вакансия опубликована 18 мая 2023 в Шымкенте,"Шымкент, проспект Тауке хана, 186",полный день,Полная занятость,Клиентоориентированность;Монтаж инженерных систем;,https://almaty.hh.kz/vacancy/80624632,,
Техничка/техник,40,з/п не указана,ТОО Компания ЭВРИКА,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Работа в команде;Расстановка приоритетов;Ориентация на результат;,https://almaty.hh.kz/vacancy/80149069,,
Инженер по ремонту в Додо Пицца,162,з/п не указана,ТОО La Tomatina,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Монтаж оборудования;Ремонтные работы;Техническое обслуживание;,https://almaty.hh.kz/vacancy/80393254,,Сервисное обслуживание/производство
Лаборант,79,от 150 000 до 150 000 KZT на руки,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 10 мая 2023 в Шымкенте,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80206838,,Наука
Банк саласына қызметкер,40,от 150 000 до 300 000 KZT на руки,ТОО Капитал - Надзор,Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Internet;Телефонные переговоры;Работа в команде;,https://almaty.hh.kz/vacancy/80076805,,
