Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Хореограф,Культура и спорт,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Умение создавать яркие сценические образы;,https://enbek.kz/ru/vacancy/khoreograf~3016836,Молодежная практика,
Психолог,Медицина и фармацевтика,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/psikholog~3016837,Молодежная практика,Медицина
Музыкальный руководитель,Культура и спорт,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/muzykalnyi-rukovoditel~3016838,Молодежная практика,
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Оценка физического состояния учащихся;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~3016839,Молодежная практика,
Логопед,Образование и воспитание,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Работа с учащимися с особыми потребностями;,https://enbek.kz/ru/vacancy/logoped~3016840,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Оказание доврачебной медицинской помощи;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3016841,Молодежная практика,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"Учреждение ""Частный детский сад ""Мерейлім""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~3016843,Молодежная практика,
Техник (общий профиль),Производство,от 103 500 тенге,"Кызылординский производственный филиал АО ""КазТрансГаз Аймақ""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Разработка и согласование технических заданий;,https://enbek.kz/ru/vacancy/tekhnik-(obshchii-profil)~3015929,Молодежная практика,Сервисное обслуживание/производство
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Негосударственное образовательное учреждение ""Зияткер-Кызылорда""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Амбулаторный прием и обслуживание больных на дому;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3015454,Молодежная практика,Медицина
Швея,Производство,от 103 500 тенге,ИП ЖАНЕРКЕ,Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~3015444,Первое рабочее место,Сервисное обслуживание/производство
Учитель химии,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""IQ (АйКью) Орда""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Обобщение опыта на уровне организации образования;,https://enbek.kz/ru/vacancy/uchitel-khimii~3014252,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Частное образовательное учреждение ""ГЧП ясли-сад ""Сыр перзенті""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~3014087,Первое рабочее место,
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Кызылординский областной филиал Республиканского общественного объединения ""Отраслевой профессиональный союз работников системы здравоохранения ""SENIM""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3013209,Молодежная практика,Менеджмент
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Отдел образования по городу Кызылорда"" управления образования Кызылординской области""",Вакансия опубликована 30.03.2023,Адреса нет,полный день,Проектная работа,Определение  четких  целей  уроков;,https://enbek.kz/ru/vacancy/pedagog-organizator~2999732,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"ИП "" ӘЛИ.Ж.С.""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2995310,Молодежная практика,Медицина
Учитель черчения,Образование и воспитание,от 103 500 тенге,"ИП ""УЛМЕКЕН""",Вакансия опубликована 23.03.2023,Адреса нет,полный день,Проектная работа,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/uchitel-chercheniya~2992346,Молодежная практика,
