Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Республиканское государственное учреждение «Департамент Агентства Республики Казахстан по противодействию коррупции (Антикоррупционной службы) по Северо-Казахстанской области»,Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2932052,Молодежная практика,Финансы
Термист,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ARSGroup service (АРСГрупп сервис)""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Подача и посадка металла в нагревательные устройства;,https://enbek.kz/ru/vacancy/termist~2931816,Первое рабочее место,Сервисное обслуживание/производство
Шлифовщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ARSGroup service (АРСГрупп сервис)""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Шлифовальная обработка и доводка деталей;,https://enbek.kz/ru/vacancy/shlifovshchik~2931817,Первое рабочее место,Сервисное обслуживание/производство
Токарь,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ARSGroup service (АРСГрупп сервис)""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,"Обработка на токарных, фрезерных, сверлильных, шлифовальных и др. станках;",https://enbek.kz/ru/vacancy/tokar~2931818,Первое рабочее место,Сервисное обслуживание/производство
Графический дизайнер,IT и телекоммуникации,от 103 500 тенге,"Коммунальное государственное учреждение ""Молодежный ресурсный центр города Петропавловска"" коммунального государственного учреждения ""Отдел внутренней политики акимата города Петропавловска""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Подготовка дизайна эскизов мультимедиа;,https://enbek.kz/ru/vacancy/graficheskii-dizainer~2930821,Первое рабочее место,IT
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""СК Качество""",Вакансия опубликована 09.02.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~2905027,Молодежная практика,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""СК Качество""",Вакансия опубликована 09.02.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/ekonomist~2905029,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""СК Качество""",Вакансия опубликована 09.02.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2905030,Молодежная практика,Финансы
Менеджер (фармацевтика),Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Smart City NK""",Вакансия опубликована 08.02.2023,Адреса нет,полный день,Проектная работа,"Обеспечение отделения лекарственными средствами, изделиями медицинского назначения и медицинской техникой;",https://enbek.kz/ru/vacancy/menedzher-(farmacevtika)~2915197,Первое рабочее место,Медицина
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Құрылыс-Сервис-СК""",Вакансия опубликована 07.02.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2909596,Первое рабочее место,Менеджмент
