Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Менеджер по онлайн-продажам,Маркетинг и СМИ,от 138 000 тенге,высшее,"Корпоративный Фонд Кызыл Орда ""кызыл орда інжу-маржан НКО""",Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/menedzher-po-onlain-prodazham~2939087,Молодежная практика
Швея,Производство,от 138 000 тенге,техническое и профессиональное,РАЯНА,Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/shveya~2938951,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"ИП ""Әлғожа Ерболат """,Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,,https://enbek.kz/ru/vacancy/vospitatel~2937520,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"ИП ""Әлғожа Ерболат """,Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,,https://enbek.kz/ru/vacancy/vospitatel~2937519,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"ИП ""Әлғожа Ерболат """,Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,,https://enbek.kz/ru/vacancy/vospitatel~2937518,Молодежная практика
Воспитатель,Образование и воспитание,от 138 000 тенге,техническое и профессиональное,"ИП ""Әлғожа Ерболат """,Вакансия опубликована 20.02.2023,Адреса нет,полный рабочий день,временная,,https://enbek.kz/ru/vacancy/vospitatel~2937517,Молодежная практика
Программист приложений,IT и телекоммуникации,от 138 000 тенге,техническое и профессиональное,"ИП ""УЛЖАН""",Вакансия опубликована 19.02.2023,Адреса нет,полный рабочий день,временная,Установка ПО серверов;,https://enbek.kz/ru/vacancy/programmist-prilozhenii~2937427,Молодежная практика
Юрист,Юриспруденция,от 138 000 тенге,техническое и профессиональное,ИП Ырыс,Вакансия опубликована 18.02.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~2937250,Молодежная практика
Швея,Производство,от 138 000 тенге,техническое и профессиональное,Муздыбаева Ж.А.,Вакансия опубликована 17.02.2023,Адреса нет,полный рабочий день,временная,Работа на швейном оборудовании различного типа;,https://enbek.kz/ru/vacancy/shveya~2936775,Молодежная практика
Швея,Производство,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Uysal Beauty (Уйсал Бьюти)""",Вакансия опубликована 17.02.2023,Адреса нет,полный рабочий день,временная,"Умение определять дефекты материалов, кроя, полуфабрикатов и изделий;",https://enbek.kz/ru/vacancy/shveya~2935799,Молодежная практика
