Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Образовательная школа 5ke""",Вакансия опубликована 27.04.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3066514,Первое рабочее место,Журналистика
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""PROF SERVICE Аудит""",Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3062431,Молодежная практика,Финансы
Инструктор по физической культуре,Образование и воспитание,от 103 500 тенге,Куатбекова Ш,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/instruktor-po-fizicheskoi-kulture~3056073,Молодежная практика,
Преподаватель вокала (пения),Образование и воспитание,от 103 500 тенге,Куатбекова Ш,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Основы музыкальной грамоты и хореографии;,https://enbek.kz/ru/vacancy/prepodavatel-vokala-(peniya)~3056074,Молодежная практика,
Детский психолог,Образование и воспитание,от 103 500 тенге,Куатбекова Ш,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/detskii-psikholog~3056075,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,Куатбекова Ш,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/vospitatel~3056076,Молодежная практика,
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП Кирикбаева ТК,Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3061799,Молодежная практика,Финансы
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ТУРЕБАЕВА АЙНУР САЛИМОВНА,Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3061797,Молодежная практика,Финансы
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП АкваВентСтрой,Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Составление баланса и оперативных сводных отчетов;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3061796,Молодежная практика,Финансы
Швея,Производство,от 103 500 тенге,"Дом Моды ""Күнкей""",Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Работа на швейном оборудовании различного типа;,https://enbek.kz/ru/vacancy/shveya~3052858,Молодежная практика,Сервисное обслуживание/производство
Воспитатель,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тумар-2019""",Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~3053192,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тумар-2019""",Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~3053195,Первое рабочее место,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП ТУРСУНКУЛОВА К,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~3046505,Первое рабочее место,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,Бержанова Назерке Хамитжанкызы,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Поиск, сбор и анализ информации;",https://enbek.kz/ru/vacancy/smm-menedzher~3046658,Первое рабочее место,Журналистика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Бержанова Назерке Хамитжанкызы,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~3046659,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""Центр лечебного массажа Айнур Ибраимовой""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~3046700,Первое рабочее место,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"ИП ""Центр лечебного массажа Айнур Ибраимовой""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Поиск, сбор и анализ информации;",https://enbek.kz/ru/vacancy/smm-menedzher~3046701,Первое рабочее место,Журналистика
Техник-электроник,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""MAD PROF SERVICE""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,"Обслуживание оборудования, линий связи, сенсоров и датчиков систем объективного контроля;",https://enbek.kz/ru/vacancy/tekhnik-elektronik~3052441,Молодежная практика,Сервисное обслуживание/производство
Швея,Производство,от 103 500 тенге,"Дом Моды ""Күнкей""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Работа на швейном оборудовании различного типа;,https://enbek.kz/ru/vacancy/shveya~3042907,Первое рабочее место,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан по Актюбинской области""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~3046971,Молодежная практика,Юриспруденция
