Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Smile Clinic""",Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,"Стерилизация лабораторного инструмента, посуды;",https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2938544,Молодежная практика,Медицина
Геодезист,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""GeoProekt-UK""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Камеральная обработка материалов инженерно -геодезических и -гидрографических работ;,https://enbek.kz/ru/vacancy/geodezist~2944584,Молодежная практика,Строительство и архитектура
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Усть-Каменогорская городская территориальная инспекция Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Владение ПК;,https://enbek.kz/ru/vacancy/deloproizvoditel~2936005,Молодежная практика,Менеджмент
Архитектор,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""GeoProekt-UK""",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,Ответственность;,https://enbek.kz/ru/vacancy/arkhitektor~2936347,Первое рабочее место,Строительство и архитектура
Помощник юриста,Юриспруденция,от 103 500 тенге,"Восточно-Казахстанский областной филиал ОО ФСО ""Динамо""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,"Разработка положений о сделках (договорах), связанных с приобретением или отчуждением имущества;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2942743,Молодежная практика,Юриспруденция
Помощник бухгалтера,Финансы и бухучет,от 102 000 тенге,"Восточно-Казахстанский областной филиал ОО ФСО ""Динамо""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2942744,Молодежная практика,Финансы
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"ИП ""НАЙЗА""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2942595,Молодежная практика,IT
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Общество Инвалидов ""Мархабат.KZ""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~2938755,Молодежная практика,
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Институт судебных экспертиз по Восточно-Казахстанской области",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yuriskonsult~2931670,Молодежная практика,Юриспруденция
Инженер-программист,IT и телекоммуникации,от 103 500 тенге,"Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Институт судебных экспертиз по Восточно-Казахстанской области",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Составление алгоритма программного кода;,https://enbek.kz/ru/vacancy/inzhener-programmist~2931671,Молодежная практика,IT
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Институт судебных экспертиз по Восточно-Казахстанской области",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2931672,Молодежная практика,Менеджмент
Инженер по оперативному учету,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тұрмыс 25""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Контроль качества работ;,https://enbek.kz/ru/vacancy/inzhener-po-operativnomu-uchetu~2931781,Молодежная практика,Строительство и архитектура
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тұрмыс 25""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Составление дефектных ведомостей;,https://enbek.kz/ru/vacancy/inzhener-stroitel~2931782,Молодежная практика,Строительство и архитектура
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тұрмыс 25""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2931783,Молодежная практика,Финансы
Сварщик,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Тұрмыс 25""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Контактная сварка;,https://enbek.kz/ru/vacancy/svarshchik~2931784,Молодежная практика,Строительство и архитектура
Инженер по охране труда и технике безопасности,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""НИКС-KZ""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,"Надзор за соблюдением требований безопасности, охраны окружающей среды и экономической эффективности;",https://enbek.kz/ru/vacancy/inzhener-po-okhrane-truda-i-tekhnike-bezopasnosti~2931856,Первое рабочее место,Сервисное обслуживание/производство
Инженер по проектно-сметной работе,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""НИКС-KZ""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,"Составление смет, сметных расчетов и иной установленной сметной документации;",https://enbek.kz/ru/vacancy/inzhener-po-proektno-smetnoi-rabote~2931904,Молодежная практика,Строительство и архитектура
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Усть-Каменогорский проектно-конструкторский институт""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Составление дефектных ведомостей;,https://enbek.kz/ru/vacancy/inzhener-stroitel~2931998,Молодежная практика,Строительство и архитектура
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Geologica""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Разработка и проверка рабочих чертежей по эскизам инженеров и конструкторов;,https://enbek.kz/ru/vacancy/inzhener-stroitel~2932029,Молодежная практика,Строительство и архитектура
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Восточно-Казахстанской области Комитета экологического регулирования и контроля Министерства экологии, геологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~2933373,Молодежная практика,Юриспруденция
