Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Юрист,Юриспруденция,от 91 890 тенге,"Республиканское государственное учреждение ""Департамент Агентства Республики Казахстан по делам государственной службы по Западно-Казахстанской области""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~3051845,Молодежная практика,Юриспруденция
Инженер по автоматизации,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ural Electric (Урал Электрик)""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Работа с информационными системами и базами данных;,https://enbek.kz/ru/vacancy/inzhener-po-avtomatizacii~3046420,Молодежная практика,Сервисное обслуживание/производство
Тренер-преподаватель по спорту,Образование и воспитание,от 103 500 тенге,ИП  ЖАКСЫМБЕТОВ  Ж.А.,Вакансия опубликована 10.04.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/trener-prepodavatel-po-sportu~3030202,Первое рабочее место,
Техник-электрик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ural Electric (Урал Электрик)""",Вакансия опубликована 03.04.2023,Адреса нет,полный день,Проектная работа,"Ремонт, монтаж и демонтаж электроустановок;",https://enbek.kz/ru/vacancy/tekhnik-elektrik~3013643,Молодежная практика,Сервисное обслуживание/производство
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Государственное учреждение ""Ревизионная комиссия по Западно-Казахстанской области""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,"Исправление неисправностей компьютеров, периферийного оборудования и программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-programmist~3009919,Молодежная практика,IT
Финансист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Ревизионная комиссия по Западно-Казахстанской области""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Применение международных стандартов финансовой отчетности;,https://enbek.kz/ru/vacancy/finansist~3009920,Молодежная практика,Финансы
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Ревизионная комиссия по Западно-Казахстанской области""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Составление бюджета предприятия;,https://enbek.kz/ru/vacancy/ekonomist~3009921,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Ревизионная комиссия по Западно-Казахстанской области""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Начисление и перечисление налоговых и других обязательных платежей;,https://enbek.kz/ru/vacancy/bukhgalter~3009922,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Ревизионная комиссия по Западно-Казахстанской области""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3009923,Молодежная практика,Юриспруденция
Филолог,Маркетинг и СМИ,от 103 500 тенге,"Западно-Казахстанский областной филиал акционерного общества ""Республиканская Телерадиокорпорация ""Казахстан""",Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,обладать широкими знаниями в истории и теории культуры - понимать;,https://enbek.kz/ru/vacancy/filolog~3005763,Молодежная практика,Журналистика
Техник связи,IT и телекоммуникации,от 103 500 тенге,"Западно-Казахстанский областной филиал акционерного общества ""Республиканская Телерадиокорпорация ""Казахстан""",Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,"телекомуникация и связи, радиовещание и телевидение;",https://enbek.kz/ru/vacancy/tekhnik-svyazi~3005764,Молодежная практика,IT
Инженер по информационно-вычислительной системе,IT и телекоммуникации,от 103 500 тенге,"Западно-Казахстанский областной филиал акционерного общества ""Республиканская Телерадиокорпорация ""Казахстан""",Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС;",https://enbek.kz/ru/vacancy/inzhener-po-informacionno-vychislitelnoi-sisteme~3005765,Молодежная практика,IT
Инженер по аудио- и видео оборудованию,IT и телекоммуникации,от 103 500 тенге,"Западно-Казахстанский областной филиал акционерного общества ""Республиканская Телерадиокорпорация ""Казахстан""",Вакансия опубликована 29.03.2023,Адреса нет,полный день,Проектная работа,"Оцифровка материала, синхронизация видео-, аудиофайлов;",https://enbek.kz/ru/vacancy/inzhener-po-audio--i-video-oborudovaniyu~3005766,Молодежная практика,IT
Культорганизатор,Культура и спорт,от 103 500 тенге,"ИП ""Ильхан""",Вакансия опубликована 27.03.2023,Адреса нет,полный день,Проектная работа,Умение общаться со зрительской аудиторией в условиях сценического представления;,https://enbek.kz/ru/vacancy/kultorganizator~2998816,Первое рабочее место,
Техник-электрик,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ural Electric (Урал Электрик)""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,"Монтаж, сборка и регулировка электрооборудования;",https://enbek.kz/ru/vacancy/tekhnik-elektrik~2996442,Первое рабочее место,Сервисное обслуживание/производство
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,"ИП ""АЗИЯ""",Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~2985848,Молодежная практика,
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,"ИП ""АЗИЯ""",Вакансия опубликована 20.03.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~2985849,Молодежная практика,
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП  ЖАКСЫМБЕТОВ  Ж.А.,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2957131,Молодежная практика,
