Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по работе с потенциальными клиентами,40,от 200 000 до 600 000 KZT на руки,ТОО Lloyds group,Вакансия опубликована 25 мая 2023 в Астане,Алматы,сменный график,Полная занятость,Работа в команде;Грамотная речь;Работа с большим объемом информации;Грамотность;Умение работать в коллективе;Анкетирование;Разъездной характер работы;,https://almaty.hh.kz/vacancy/79502315,,
Ассистент менеджера по продажам,54,з/п не указана,ТОО Distritech,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 32",полный день,Полная занятость,Управление временем;Проведение переговоров;Навыки работы с возражениями;Участие в Тендерах;Навыки продаж;Навыки переговоров;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/78082585,,Менеджмент
Мастер по сборке интерьерных карт мира,40,до 150 000 KZT на руки,ИП Ecomaps,Вакансия опубликована 29 мая 2023 в Астане,"Нур-Султан (Астана), проспект Абая, 76",полный день,Полная занятость,"Работа в команде;Способность обучать других;Internet;Лазерная техника;Желание обучаться;Лояльность;Навыки разрешения спорных ситуаций;Желание работать и зарабатывать;Смекалка;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80802603,,
Дезинфектор,40,от 500 000 до 1 000 000 KZT на руки,ООО Домин,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Полная занятость,Мобильность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81228137,,
Junior Product-менеджер/стажер (Kolesa Academy),73,от 200 000 до 200 000 KZT на руки,АО Колеса,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Стажировка,Управление проектами;Product Management;Работа в команде;Лидерство;Умение принимать решения;,https://almaty.hh.kz/vacancy/81235523,,Менеджмент
Агент по обслуживанию пассажиров,40,з/п не указана,"AIR ASTANA, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,Стажировка,Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/79074666,,
Администратор в студию танцев,8,от 150 000 до 180 000 KZT до вычета налогов,ИП United Dance Space,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Кайыма Мухамедханова",полный день,Полная занятость,Грамотная речь;Работа в команде;Грамотность;Деловое общение;Работа с клиентами;Работа с людьми;,https://almaty.hh.kz/vacancy/81172985,,
Помощник руководителя,106,от 300 000 до 350 000 KZT до вычета налогов,ФИЛИАЛ ТОО АКТИВАЙС-NORD В ГОРОДЕ АСТАНА,Вакансия опубликована 29 мая 2023 в Астане,"Астана, улица Бактыораза Бейсекбаева, 27",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81199534,,
Официант в ресторан Del papa,40,от 250 000 до 500 000 KZT до вычета налогов,ТОО AB Restaurants,Вакансия опубликована 6 мая 2023 в Астане,"Нур-Султан (Астана), проспект Республики, 10",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80176815,,
Аниматор,13,от 300 000 до 400 000 KZT на руки,ИП «Geona»,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Шарля де Голля",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81157220,,
SMM менеджер - мобилограф,3,от 250 000 до 300 000 KZT до вычета налогов,ТОО Жігер Инжиниринг,Вакансия опубликована 29 мая 2023 в Астане,"Нур-Султан (Астана), микрорайон Шубар, улица Нуртаса Ондасынова, 75",полный день,Полная занятость,Грамотная речь;Наполнение контентом;Фотография;Видеомонтаж;Видеосъемка;Креативность;Обработка видео;Монтаж видео;Instagram;SMM;Продвижение в социальных группах;Социальные сети;PR;Cоциальный маркетинг;facebook;Canva;Обработка фото;мобилограф;,https://almaty.hh.kz/vacancy/81208505,,Менеджмент
Специалист по сопровождению сайта,3,от 300 000 до 450 000 KZT на руки,ТОО WPK Astana,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81213730,,Менеджмент
Мобилограф,20,от 150 000 до 300 000 KZT на руки,ТОО Центр развития предпринимателей,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), улица Габидена Мустафина, 30",полный день,Полная занятость,Видеомонтаж;Видеосъемка;Обработка видео;Adobe Photoshop;Adobe Premier Pro;Творческое мышление;Творчество;Cupcat;VN;VdeaoLeap;Canva;,https://almaty.hh.kz/vacancy/80994636,,Массмедиа
SMM-менеджер,3,от 300 000 KZT до вычета налогов,Национальная палата предпринимателей Республики Казахстан Атамекен,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,Полная занятость,План продвижения;Cоциальный маркетинг;SMM;Ведение групп в социальных сетях;Партнерские программы в социальных сетях;Продвижение в социальных группах;Cоциальная реклама;Деловая коммуникация;Контент;,https://almaty.hh.kz/vacancy/80995410,,Менеджмент
SMM-менеджер,3,от 120 000 до 150 000 KZT до вычета налогов,ТОО COSMETICS STAR,Вакансия опубликована 23 мая 2023 в Астане,Алматы,гибкий график,Частичная занятость,"SMM;Таргетинг;Составление контент-плана;Контент;Инстаграм;Умение работать в условиях многозадачности;Внимательность, ответственность;Рассылка сообщений;Продвижение мероприятий компании в социальных сетях;работа со статистикой;Скорость;Идейность;Грамотность;Умение планировать;Введение переговоров;Наполнение контентом;Энтузиазм;Гибкость мышления;Английский — A1 — Начальный;Русский — C1 — Продвинутый;Казахский — A2 — Элементарный;",https://almaty.hh.kz/vacancy/80886095,,Менеджмент
Администратор фитнес клуба,8,от 150 000 до 250 000 KZT на руки,ИП Underground Gym,Вакансия опубликована 9 мая 2023 в Астане,"Нур-Султан (Астана), проспект Улы Дала, 19",полный день,Полная занятость,Грамотная речь;Работа в команде;Обучение персонала;Управление персоналом;Подбор персонала;,https://almaty.hh.kz/vacancy/80197894,,
Помощник менеджера kazdream академии,40,до 100 000 KZT на руки,ТОО ProPeople Global,Вакансия опубликована 22 мая 2023 в Астане,Алматы,полный день,Полная занятость,Многофункциональный комплекс;Работа в условиях многозадачности;Информирование сотрудников;Высокие коммуникативные навыки;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80786773,,
Оператор базы данных,84,от 500 до 700 USD на руки,ООО ФПК,Вакансия опубликована 22 мая 2023 в Астане,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80815939,,IT
Хостес,140,от 220 000 до 220 000 KZT на руки,ТОО РестоГруп,Вакансия опубликована 29 мая 2023 в Астане,"Астана, улица Достык, 13",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80876445,,
Тьютор/куратор в летний лагерь,132,от 50 000 до 80 000 KZT до вычета налогов,ИП BeeSmart,Вакансия опубликована 26 мая 2023 в Астане,"Астана, улица Достык, 5",полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/81105825,,
Оператор игровых аттракционов,84,от 130 000 до 150 000 KZT до вычета налогов,ИП Турсынбаева Л.Т.,Вакансия опубликована 27 мая 2023 в Астане,"Астана, проспект Кабанбай Батыра, 62",полный день,Полная занятость,"Работа в команде;планировать и оптимально организовать рабочий процесс;Техническая поддержка;Ответственность и пунктуальность;умение слушать, давать компетентные советы, находить подход к клиентам;",https://almaty.hh.kz/vacancy/80943212,,IT
Python developer (AI-ML team),96,з/п не указана,DocuSketch,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,Полная занятость,Python;Linux;Analytical skills;Organization Skills;ML;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80918577,,IT
Бухгалтер по основным средствам и авансовым отчетам,18,от 350 000 до 350 000 KZT до вычета налогов,ТОО Fortunata,Вакансия опубликована 29 мая 2023 в Астане,"Астана, улица Сарайшык",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81200016,,Финансы
Торговый представитель в Астане,129,от 300 000 до 500 000 KZT на руки,ТОО КазАрстрой,Вакансия опубликована 20 мая 2023 в Астане,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80727703,,
Администратор в отель,8,до 200 000 KZT на руки,ТОО Ikyn,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 12Б",полный день,Полная занятость,"Опыт работы в сфере гостеприимства;Знание казахского и английского языков (разговорный уровень);Коммуникабельность, вежливость, дружелюбие и умение работать с людьми;Организованность и ответственность;Умение быстро переключаться между задачами и работать в нестандартных ситуациях;Гибкость в решении проблем;Навыки работы в команде;",https://almaty.hh.kz/vacancy/81078781,,
Лаборант ОТК,79,от 220 000 KZT на руки,ТОО PET,Вакансия опубликована 22 мая 2023 в Астане,"Астана, улица Коктал, 15",сменный график,Полная занятость,"лаборант;лаборатория;преформа;Бережливое производство;Управление производством;Работа с компьютером;Коммуникабельность, ответственность;Контроль качества;",https://almaty.hh.kz/vacancy/80818544,,Наука
2D-художник,34,з/п не указана,Fntastic,Вакансия опубликована 28 мая 2023 в Астане,Астана,полный день,Полная занятость,Adobe Photoshop;Разработка компьютерных Игр;Gamedev;Работа в условиях многозадачности;Игровой опыт;Художник;Концептирование;,https://almaty.hh.kz/vacancy/81000511,,Массмедиа
Мерчендайзер,77,от 220 000 до 225 000 KZT на руки,ТОО Icefood,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Александра Пушкина, 75",полный день,Полная занятость,Мерчандайзинг;Выкладка товаров;Пополнение товарных запасов;Визуальный мерчандайзинг;Блочная выкладка товара;Контроль сроков годности;Умение работать в команде;Мобильный мерчандайзинг;,https://almaty.hh.kz/vacancy/80787058,,
Администратор (на Регистратуру),8,от 200 000 до 220 000 KZT на руки,ТОО Ортопедический центр «Экстра комфорт»,Вакансия опубликована 19 мая 2023 в Астане,"Нур-Султан (Астана), улица Григория Потанина, 14",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Консультирование клиентов по телефону;Работа с клиентами;Ведение переговоров;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80732171,,
Преподаватель в образовательный центр,132,от 180 000 до 220 000 KZT до вычета налогов,ИП Образование (Байботанова Т.К.),Вакансия опубликована 14 мая 2023 в Астане,"Астана, улица Сауран, 15/3",гибкий график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79292243,,
Мерчендазер (формата парт-таймер),77,от 70 000 до 100 000 KZT на руки,ТОО REDPARK,Вакансия опубликована 25 мая 2023 в Астане,"Астана, улица Каныша Сатпаева, 11",гибкий график,Частичная занятость,Выкладка товаров;Проведение промо акций;Навыки работы с первичной документацией;Управление складскими запасами;Гибкость;Планирование карьеры;Работа в команде;Грамотная речь;Торговля;Способность быстро обучаться;,https://almaty.hh.kz/vacancy/81039588,,
"Оператор архивного дела и оцифровки документов (ул.Гете,4)",33,от 150 000 до 150 000 KZT на руки,ТОО АСиВ,Вакансия опубликована 12 мая 2023 в Астане,Алматы,полный день,Полная занятость,MS Access;Сканер;Слепая печать;Google Chrome;FineReader;Пользователь ПК;Работа с оргтехникой;Работа в команде;MS Internet Explorer;,https://almaty.hh.kz/vacancy/80344144,,Юриспруденция
Промоутер-консультант,129,от 150 000 до 200 000 KZT на руки,ТОО Как в кино,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), улица Алихана Бокейханова, 27/2",гибкий график,Частичная занятость,Продажи;Навыки работы с возражениями;Деловое общение;Проведение опросов клиентов;Работа в команде;Обучение и развитие;Работа с людьми;Креативность;Творческое мышление;Работа с большим объемом информации;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/80788791,,
"Менеджер по чистоте, порядку",76,от 300 000 KZT до вычета налогов,"ТОО Astana Mall Trading,ТОО",Вакансия опубликована 29 мая 2023 в Астане,"Астана, проспект Тауелсиздик, 34",сменный график,Полная занятость,Исполнительность;Ответственность;Опрятность;Организация и планирование рабочего времени;Работа в команде;Способность быстро обучаться;Высокая энергичность и инициативность;Организаторские навыки;Управление персоналом;Обучение персонала;,https://almaty.hh.kz/vacancy/79962235,,Менеджмент
Администратор ресепшен,8,от 130 000 до 150 000 KZT на руки,ТОО Invictus Astana,Вакансия опубликована 10 мая 2023 в Астане,"Нур-Султан (Астана), жилой комплекс Зелёный Квартал",полный день,Полная занятость,Клиентоориентированность;Грамотная речь;Консультативные продажи;Управление отношениями с клиентами;Работа с жалобами клиентов;,https://almaty.hh.kz/vacancy/80239324,,
Дизайнер,34,от 220 000 до 300 000 KZT на руки,ИП Джулай О.А. ТМ Компания Лик,Вакансия опубликована 27 мая 2023 в Астане,"Нур-Султан (Астана), улица Бейбитшилик, 71",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80937440,,Массмедиа
